FIPS,ISO2,ISO3,UN,NAME
AJ,AZ,AZE,31,Azerbaijan
AL,AL,ALB,8,Albania
AM,AM,ARM,51,Armenia
BK,BA,BIH,70,Bosnia and Herzegovina
BU,BG,BGR,100,Bulgaria
CY,CY,CYP,196,Cyprus
DA,DK,DNK,208,Denmark
EI,IE,IRL,372,Ireland
EN,EE,EST,233,Estonia
AU,AT,AUT,40,Austria
EZ,CZ,CZE,203,Czech Republic
FI,FI,FIN,246,Finland
FR,FR,FRA,250,France
GG,GE,GEO,268,Georgia
GM,DE,DEU,276,Germany
GR,GR,GRC,300,Greece
HR,HR,HRV,191,Croatia
HU,HU,HUN,348,Hungary
IC,IS,ISL,352,Iceland
IS,IL,ISR,376,Israel
IT,IT,ITA,380,Italy
LG,LV,LVA,428,Latvia
BO,BY,BLR,112,Belarus
LH,LT,LTU,440,Lithuania
LO,SK,SVK,703,Slovakia
LS,LI,LIE,438,Liechtenstein
MK,MK,MKD,807,The former Yugoslav Republic of Macedonia
MT,MT,MLT,470,Malta
BE,BE,BEL,56,Belgium
FO,FO,FRO,234,Faroe Islands
AN,AD,AND,20,Andorra
LU,LU,LUX,442,Luxembourg
MN,MC,MCO,492,Monaco
MJ,ME,MNE,499,Montenegro
NL,NL,NLD,528,Netherlands
NO,NO,NOR,578,Norway
PL,PL,POL,616,Poland
PO,PT,PRT,620,Portugal
RO,RO,ROU,642,Romania
MD,MD,MDA,498,Republic of Moldova
SI,SI,SVN,705,Slovenia
SP,ES,ESP,724,Spain
SW,SE,SWE,752,Sweden
SZ,CH,CHE,756,Switzerland
TU,TR,TUR,792,Turkey
UK,GB,GBR,826,United Kingdom
UP,UA,UKR,804,Ukraine
SM,SM,SMR,674,San Marino
RB,RS,SRB,688,Serbia
VT,VA,VAT,336,Holy See (Vatican City)
RS,RU,RUS,643,Russia
