Country,Year,Value
Albania,2008,7.63
Albania,2009,7.25
Albania,2010,:
Albania,2011,7.56
Albania,2012,:
Albania,2013,:
Albania,2014,6.25
Albania,2015,4.78
Albania,2016,4.57
Albania,2017,4.48
Albania,2018,3.97
Albania,2019,3.25
Albania,2020,4.01
Albania,2021,3.57
Albania,2022,3.33
Austria,2008,0.7
Austria,2009,1.22
Austria,2010,1.34
Austria,2011,1.25
Austria,2012,1.3
Austria,2013,1.24
Austria,2014,0.82
Austria,2015,1.12
Austria,2016,1.14
Austria,2017,1.72
Austria,2018,1.48
Austria,2019,1.93
Austria,2020,1.49
Austria,2021,1.35
Austria,2022,1.49
Belgium,2008,6.39
Belgium,2009,6.94
Belgium,2010,7.03
Belgium,2011,7.8
Belgium,2012,7.55
Belgium,2013,7.26
Belgium,2014,7.59
Belgium,2015,7.83
Belgium,2016,7.79
Belgium,2017,8.55
Belgium,2018,9.01
Belgium,2019,8.95
Belgium,2020,8.83
Belgium,2021,9.11
Belgium,2022,10.29
Bosnia and Herzegovina,2008,2.39
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,1.74
Bosnia and Herzegovina,2011,1.3
Bosnia and Herzegovina,2012,1.22
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,0.8
Bulgaria,2009,0.88
Bulgaria,2010,0.84
Bulgaria,2011,0.83
Bulgaria,2012,0.61
Bulgaria,2013,0.92
Bulgaria,2014,0.63
Bulgaria,2015,0.46
Bulgaria,2016,1.06
Bulgaria,2017,0.44
Bulgaria,2018,0.65
Bulgaria,2019,0.54
Bulgaria,2020,0.46
Bulgaria,2021,0.4
Bulgaria,2022,0.67
Croatia,2008,:
Croatia,2009,:
Croatia,2010,2.91
Croatia,2011,2.87
Croatia,2012,2.36
Croatia,2013,2.96
Croatia,2014,2.66
Croatia,2015,2.49
Croatia,2016,2.22
Croatia,2017,3.01
Croatia,2018,2.19
Croatia,2019,2.4
Croatia,2020,2.66
Croatia,2021,2.55
Croatia,2022,2.8
Cyprus,2008,1.67
Cyprus,2009,2.38
Cyprus,2010,1.34
Cyprus,2011,1.55
Cyprus,2012,1.39
Cyprus,2013,0.92
Cyprus,2014,1.17
Cyprus,2015,1.3
Cyprus,2016,0.83
Cyprus,2017,1.17
Cyprus,2018,0.93
Cyprus,2019,1.71
Cyprus,2020,1.8
Cyprus,2021,1.45
Cyprus,2022,1.88
Czechia,2008,0.86
Czechia,2009,0.73
Czechia,2010,0.65
Czechia,2011,0.86
Czechia,2012,0.89
Czechia,2013,0.87
Czechia,2014,0.75
Czechia,2015,0.64
Czechia,2016,0.67
Czechia,2017,0.43
Czechia,2018,0.41
Czechia,2019,0.58
Czechia,2020,0.64
Czechia,2021,0.55
Czechia,2022,0.6
Denmark,2008,3.59
Denmark,2009,3.77
Denmark,2010,2.75
Denmark,2011,2.66
Denmark,2012,2.54
Denmark,2013,2.95
Denmark,2014,2.63
Denmark,2015,2.49
Denmark,2016,3.4
Denmark,2017,3.69
Denmark,2018,3.62
Denmark,2019,2.57
Denmark,2020,2.59
Denmark,2021,2.28
Denmark,2022,2.38
England and Wales,2008,:
England and Wales,2009,:
England and Wales,2010,:
England and Wales,2011,:
England and Wales,2012,:
England and Wales,2013,:
England and Wales,2014,:
England and Wales,2015,:
England and Wales,2016,:
England and Wales,2017,:
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,1.49
Estonia,2009,1.87
Estonia,2010,1.05
Estonia,2011,2.63
Estonia,2012,1.28
Estonia,2013,0.76
Estonia,2014,1.06
Estonia,2015,1.29
Estonia,2016,0.84
Estonia,2017,1.22
Estonia,2018,1.36
Estonia,2019,0.83
Estonia,2020,0.98
Estonia,2021,0.68
Estonia,2022,0.68
Finland,2008,6.85
Finland,2009,6.87
Finland,2010,5.74
Finland,2011,5.73
Finland,2012,6.46
Finland,2013,4.86
Finland,2014,6
Finland,2015,5.46
Finland,2016,5.67
Finland,2017,6.32
Finland,2018,6.44
Finland,2019,5.96
Finland,2020,6.93
Finland,2021,6.76
Finland,2022,6.29
France,2008,1.82
France,2009,1.67
France,2010,1.87
France,2011,2.04
France,2012,2.39
France,2013,2.29
France,2014,2.54
France,2015,3.18
France,2016,3.39
France,2017,3.43
France,2018,3.72
France,2019,4.05
France,2020,4.63
France,2021,4.64
France,2022,5.28
Germany,2008,1.96
Germany,2009,2.01
Germany,2010,1.98
Germany,2011,1.94
Germany,2012,1.98
Germany,2013,1.98
Germany,2014,2.01
Germany,2015,1.91
Germany,2016,2.14
Germany,2017,2.09
Germany,2018,2.33
Germany,2019,2.18
Germany,2020,2.13
Germany,2021,1.87
Germany,2022,2.07
Greece,2008,1.48
Greece,2009,1.69
Greece,2010,1.74
Greece,2011,1.64
Greece,2012,1.67
