Country,Year,Value
Albania,2008,:
Albania,2009,:
Albania,2010,:
Albania,2011,:
Albania,2012,:
Albania,2013,:
Albania,2014,:
Albania,2015,:
Albania,2016,8.9
Albania,2017,10.32
Albania,2018,9.55
Albania,2019,10.66
Albania,2020,5.66
Albania,2021,9.29
Albania,2022,17.68
Austria,2008,:
Austria,2009,:
Austria,2010,:
Austria,2011,:
Austria,2012,:
Austria,2013,:
Austria,2014,:
Austria,2015,:
Austria,2016,0.23
Austria,2017,0.34
Austria,2018,0.27
Austria,2019,0.43
Austria,2020,0.42
Austria,2021,0.64
Austria,2022,1.65
Belgium,2008,:
Belgium,2009,:
Belgium,2010,:
Belgium,2011,:
Belgium,2012,:
Belgium,2013,:
Belgium,2014,:
Belgium,2015,:
Belgium,2016,0.85
Belgium,2017,0.88
Belgium,2018,0.85
Belgium,2019,0.87
Belgium,2020,0.63
Belgium,2021,0.78
Belgium,2022,0.59
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,:
Bulgaria,2009,:
Bulgaria,2010,:
Bulgaria,2011,:
Bulgaria,2012,:
Bulgaria,2013,:
Bulgaria,2014,:
Bulgaria,2015,:
Bulgaria,2016,1.85
Bulgaria,2017,1.96
Bulgaria,2018,2.37
Bulgaria,2019,1.86
Bulgaria,2020,1.7
Bulgaria,2021,1.46
Bulgaria,2022,1.54
Croatia,2008,:
Croatia,2009,:
Croatia,2010,:
Croatia,2011,:
Croatia,2012,:
Croatia,2013,:
Croatia,2014,:
Croatia,2015,:
Croatia,2016,5.3
Croatia,2017,4.65
Croatia,2018,1.1
Croatia,2019,0.96
Croatia,2020,1.5
Croatia,2021,2.55
Croatia,2022,8.85
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,:
Cyprus,2012,:
Cyprus,2013,:
Cyprus,2014,:
Cyprus,2015,:
Cyprus,2016,4.48
Cyprus,2017,3.51
Cyprus,2018,1.85
Cyprus,2019,1.6
Cyprus,2020,1.24
Cyprus,2021,1.34
Cyprus,2022,2.54
Czechia,2008,:
Czechia,2009,:
Czechia,2010,:
Czechia,2011,:
Czechia,2012,:
Czechia,2013,:
Czechia,2014,:
Czechia,2015,:
Czechia,2016,0.93
Czechia,2017,0.87
Czechia,2018,2.65
Czechia,2019,1.15
Czechia,2020,1.08
Czechia,2021,0.89
Czechia,2022,1.71
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,0.93
Denmark,2017,0.47
Denmark,2018,5.45
Denmark,2019,0.79
Denmark,2020,0.22
Denmark,2021,0.91
Denmark,2022,0.17
England and Wales,2008,:
England and Wales,2009,:
England and Wales,2010,:
England and Wales,2011,:
England and Wales,2012,:
England and Wales,2013,:
England and Wales,2014,:
England and Wales,2015,:
England and Wales,2016,:
England and Wales,2017,:
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,:
Estonia,2009,:
Estonia,2010,:
Estonia,2011,:
Estonia,2012,:
Estonia,2013,:
Estonia,2014,:
Estonia,2015,:
