Country,Year,Value
Albania,2008,697
Albania,2009,757
Albania,2010,957
Albania,2011,979
Albania,2012,1238
Albania,2013,1277
Albania,2014,1657
Albania,2015,1387
Albania,2016,1216
Albania,2017,1145
Albania,2018,1218
Albania,2019,1157
Albania,2020,894
Albania,2021,744
Albania,2022,601
Austria,2008,17180
Austria,2009,19718
Austria,2010,14646
Austria,2011,15616
Austria,2012,15479
Austria,2013,16548
Austria,2014,17110
Austria,2015,15516
Austria,2016,12975
Austria,2017,11750
Austria,2018,9751
Austria,2019,8798
Austria,2020,6521
Austria,2021,4567
Austria,2022,6016
Belgium,2008,64061
Belgium,2009,69456
Belgium,2010,63598
Belgium,2011,70037
Belgium,2012,75640
Belgium,2013,75481
Belgium,2014,72675
Belgium,2015,65716
Belgium,2016,55367
Belgium,2017,52331
Belgium,2018,51337
Belgium,2019,47866
Belgium,2020,33966
Belgium,2021,33783
Belgium,2022,39128
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,3673
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,146
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,1181
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,549
Bosnia and Herzegovina,2021,401
Bosnia and Herzegovina,2022,330
Bulgaria,2008,6745
Bulgaria,2009,7963
Bulgaria,2010,8338
Bulgaria,2011,6558
Bulgaria,2012,6456
Bulgaria,2013,6396
Bulgaria,2014,5345
Bulgaria,2015,4433
Bulgaria,2016,:
Bulgaria,2017,:
Bulgaria,2018,6595
Bulgaria,2019,5587
Bulgaria,2020,4736
Bulgaria,2021,3945
Bulgaria,2022,4350
Croatia,2008,2714
Croatia,2009,2777
Croatia,2010,4108
Croatia,2011,4616
Croatia,2012,5664
Croatia,2013,5996
Croatia,2014,4944
Croatia,2015,4909
Croatia,2016,4409
Croatia,2017,4534
Croatia,2018,4514
Croatia,2019,3856
Croatia,2020,3237
Croatia,2021,2567
Croatia,2022,2237
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,1961
Cyprus,2012,2010
Cyprus,2013,1785
Cyprus,2014,1625
Cyprus,2015,1362
Cyprus,2016,1088
Cyprus,2017,923
Cyprus,2018,:
Cyprus,2019,:
Cyprus,2020,:
Cyprus,2021,:
Cyprus,2022,:
Czechia,2008,4634
Czechia,2009,4790
Czechia,2010,5374
Czechia,2011,5257
Czechia,2012,5479
Czechia,2013,15958
Czechia,2014,12832
Czechia,2015,9448
Czechia,2016,8026
Czechia,2017,7233
Czechia,2018,6029
Czechia,2019,6525
Czechia,2020,5512
Czechia,2021,5221
Czechia,2022,5893
Denmark,2008,58790
Denmark,2009,66881
Denmark,2010,62450
Denmark,2011,63390
Denmark,2012,57927
Denmark,2013,56526
Denmark,2014,50646
Denmark,2015,45726
Denmark,2016,44379
Denmark,2017,40391
Denmark,2018,39821
Denmark,2019,34946
Denmark,2020,27139
Denmark,2021,23025
Denmark,2022,22932
England and Wales,2008,284431
England and Wales,2009,268606
England and Wales,2010,258165
England and Wales,2011,245312
England and Wales,2012,227276
England and Wales,2013,211988
England and Wales,2014,196554
England and Wales,2015,194375
England and Wales,2016,206144
England and Wales,2017,249527
England and Wales,2018,236519
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,3321
Estonia,2009,3027
Estonia,2010,3196
Estonia,2011,2792
Estonia,2012,2718
Estonia,2013,2132
Estonia,2014,2072
Estonia,2015,1662
Estonia,2016,1328
Estonia,2017,965
Estonia,2018,755
Estonia,2019,600
Estonia,2020,582
Estonia,2021,491
Estonia,2022,528
Finland,2008,5978
Finland,2009,6497
Finland,2010,6453
Finland,2011,6672
Finland,2012,6281
Finland,2013,5748
Finland,2014,6365
Finland,2015,5970
Finland,2016,5299
Finland,2017,4771
Finland,2018,4926
Finland,2019,4536
Finland,2020,4724
Finland,2021,3898
Finland,2022,3591
France,2008,166250
France,2009,179408
France,2010,189947
France,2011,220049
France,2012,238088
France,2013,250432
France,2014,235619
France,2015,231785
France,2016,241199
France,2017,:
France,2018,:
France,2019,:
France,2020,:
France,2021,:
France,2022,:
Germany,2008,108284
Germany,2009,113800
Germany,2010,121347
Germany,2011,132595
Germany,2012,144117
Germany,2013,149500
Germany,2014,152123
Germany,2015,167136
Germany,2016,151265
Germany,2017,116540
Germany,2018,97504
Germany,2019,87145
Germany,2020,75023
Germany,2021,54236
Germany,2022,65908
Greece,2008,17953
Greece,2009,18849
Greece,2010,24603
Greece,2011,27569
Greece,2012,28193
Greece,2013,25549
Greece,2014,22881
Greece,2015,24022
Greece,2016,23420
Greece,2017,9894
Greece,2018,8527
Greece,2019,9215
Greece,2020,6425
Greece,2021,5915
Greece,2022,6376
Hungary,2008,19239
Hungary,2009,17625
Hungary,2010,21979
Hungary,2011,22534
Hungary,2012,23739
Hungary,2013,21606
Hungary,2014,24126
Hungary,2015,20291
Hungary,2016,:
Hungary,2017,:
Hungary,2018,:
Hungary,2019,:
Hungary,2020,:
Hungary,2021,:
Hungary,2022,:
Iceland,2008,:
Iceland,2009,968
Iceland,2010,941
Iceland,2011,613
Iceland,2012,453
Iceland,2013,382
Iceland,2014,389
Iceland,2015,402
Iceland,2016,309
Iceland,2017,383
Iceland,2018,508
Iceland,2019,:
Iceland,2020,388
Iceland,2021,490
Iceland,2022,:
Ireland,2008,:
Ireland,2009,:
Ireland,2010,:
Ireland,2011,:
Ireland,2012,:
Ireland,2013,:
Ireland,2014,:
Ireland,2015,:
Ireland,2016,:
Ireland,2017,:
Ireland,2018,:
Ireland,2019,:
Ireland,2020,:
Ireland,2021,:
Ireland,2022,:
Italy,2008,150761
Italy,2009,150843
Italy,2010,169163
Italy,2011,204891
Italy,2012,237355
Italy,2013,251422
Italy,2014,255886
Italy,2015,234726
Italy,2016,214053
Italy,2017,195824
Italy,2018,191374
Italy,2019,165329
Italy,2020,109503
Italy,2021,124715
Italy,2022,133802
Kosovo*,2008,2376
Kosovo*,2009,2305
Kosovo*,2010,2977
Kosovo*,2011,3329
Kosovo*,2012,3256
Kosovo*,2013,6566
Kosovo*,2014,5348
Kosovo*,2015,4207
Kosovo*,2016,4467
Kosovo*,2017,:
Kosovo*,2018,:
Kosovo*,2019,:
Kosovo*,2020,:
Kosovo*,2021,:
Kosovo*,2022,:
Latvia,2008,1717
Latvia,2009,1809
Latvia,2010,800
Latvia,2011,:
Latvia,2012,731
Latvia,2013,703
Latvia,2014,432
Latvia,2015,255
Latvia,2016,1733
Latvia,2017,1429
Latvia,2018,1283
Latvia,2019,1028
Latvia,2020,833
Latvia,2021,522
Latvia,2022,475
Liechtenstein,2008,105
Liechtenstein,2009,193
Liechtenstein,2010,:
Liechtenstein,2011,90
Liechtenstein,2012,51
Liechtenstein,2013,92
Liechtenstein,2014,116
Liechtenstein,2015,102
Liechtenstein,2016,77
Liechtenstein,2017,:
Liechtenstein,2018,:
Liechtenstein,2019,:
Liechtenstein,2020,:
Liechtenstein,2021,:
Liechtenstein,2022,:
Lithuania,2008,6076
Lithuania,2009,5799
Lithuania,2010,4905
Lithuania,2011,4081
Lithuania,2012,3526
Lithuania,2013,3265
Lithuania,2014,3342
Lithuania,2015,2999
Lithuania,2016,2657
Lithuania,2017,2590
Lithuania,2018,1983
Lithuania,2019,1641
Lithuania,2020,1224
Lithuania,2021,822
Lithuania,2022,812
Luxembourg,2008,1492
Luxembourg,2009,1639
Luxembourg,2010,1352
Luxembourg,2011,2154
Luxembourg,2012,1862
Luxembourg,2013,2228
Luxembourg,2014,3315
Luxembourg,2015,2696
Luxembourg,2016,2123
Luxembourg,2017,:
Luxembourg,2018,:
Luxembourg,2019,:
Luxembourg,2020,1076
Luxembourg,2021,1147
Luxembourg,2022,:
Malta,2008,674
Malta,2009,667
