Country,Year,Value
Albania,2008,21.99
Albania,2009,23.77
Albania,2010,:
Albania,2011,34.57
Albania,2012,:
Albania,2013,:
Albania,2014,57.21
Albania,2015,47.95
Albania,2016,42.13
Albania,2017,39.8
Albania,2018,42.43
Albania,2019,40.42
Albania,2020,31.41
Albania,2021,26.29
Albania,2022,21.51
Austria,2008,206.79
Austria,2009,236.57
Austria,2010,175.37
Austria,2011,186.46
Austria,2012,184.1
Austria,2013,195.79
Austria,2014,201.13
Austria,2015,180.92
Austria,2016,149.31
Austria,2017,133.94
Austria,2018,110.53
Austria,2019,99.31
Austria,2020,73.26
Austria,2021,51.13
Austria,2022,67
Belgium,2008,600.56
Belgium,2009,645.92
Belgium,2010,586.7
Belgium,2011,636.66
Belgium,2012,681.76
Belgium,2013,676.25
Belgium,2014,650
Belgium,2015,584.8
Belgium,2016,489.49
Belgium,2017,461
Belgium,2018,450.38
Belgium,2019,417.84
Belgium,2020,294.78
Belgium,2021,292.37
Belgium,2022,336.8
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,95.55
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,89.72
Bulgaria,2009,106.64
Bulgaria,2010,112.35
Bulgaria,2011,88.99
Bulgaria,2012,88.11
Bulgaria,2013,87.8
Bulgaria,2014,73.77
Bulgaria,2015,61.55
Bulgaria,2016,:
Bulgaria,2017,:
Bulgaria,2018,93.55
Bulgaria,2019,79.81
Bulgaria,2020,68.13
Bulgaria,2021,57.04
Bulgaria,2022,63.61
Croatia,2008,62.94
Croatia,2009,64.43
Croatia,2010,95.47
Croatia,2011,107.6
Croatia,2012,132.46
Croatia,2013,140.68
Croatia,2014,116.42
Croatia,2015,116.18
Croatia,2016,105.21
Croatia,2017,109.14
Croatia,2018,109.95
Croatia,2019,94.6
Croatia,2020,79.77
Croatia,2021,63.6
Croatia,2022,57.92
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,233.52
Cyprus,2012,233.18
Cyprus,2013,206.15
Cyprus,2014,189.39
Cyprus,2015,160.8
Cyprus,2016,128.25
Cyprus,2017,107.98
Cyprus,2018,:
Cyprus,2019,:
Cyprus,2020,:
Cyprus,2021,:
Cyprus,2022,:
Czechia,2008,44.8
Czechia,2009,45.94
Czechia,2010,51.36
Czechia,2011,50.13
Czechia,2012,52.15
Czechia,2013,151.75
Czechia,2014,122.07
Czechia,2015,89.65
Czechia,2016,76.05
Czechia,2017,68.37
Czechia,2018,56.82
Czechia,2019,61.27
Czechia,2020,51.54
Czechia,2021,48.79
Czechia,2022,56.03
Denmark,2008,1073.63
Denmark,2009,1213.49
Denmark,2010,1128.33
Denmark,2011,1139.98
Denmark,2012,1038.02
Denmark,2013,1008.92
Denmark,2014,900.02
Denmark,2015,807.92
Denmark,2016,777.59
Denmark,2017,702.6
Denmark,2018,688.8
Denmark,2019,601.89
Denmark,2020,466.08
Denmark,2021,394.26
Denmark,2022,390.44
England and Wales,2008,520.79
England and Wales,2009,488.03
England and Wales,2010,465.46
England and Wales,2011,438.59
England and Wales,2012,403.19
England and Wales,2013,373.49
England and Wales,2014,343.76
England and Wales,2015,337.18
England and Wales,2016,354.61
England and Wales,2017,426.08
England and Wales,2018,401.15
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,248.12
Estonia,2009,226.62
Estonia,2010,239.71
Estonia,2011,209.98
Estonia,2012,205.1
Estonia,2013,161.49
Estonia,2014,157.47
Estonia,2015,126.4
Estonia,2016,100.92
Estonia,2017,73.35
Estonia,2018,57.23
Estonia,2019,45.29
Estonia,2020,43.79
Estonia,2021,36.92
Estonia,2022,39.65
Finland,2008,112.78
Finland,2009,121.98
Finland,2010,120.58
Finland,2011,124.12
Finland,2012,116.29
Finland,2013,105.92
Finland,2014,116.76
Finland,2015,109.11
Finland,2016,96.57
Finland,2017,86.69
Finland,2018,89.35
Finland,2019,82.2
Finland,2020,85.5
Finland,2021,70.44
Finland,2022,64.72
France,2008,259.74
France,2009,278.8
France,2010,293.77
France,2011,338.65
France,2012,364.73
France,2013,381.75
France,2014,357.31
France,2015,348.61
France,2016,361.29
France,2017,:
France,2018,:
France,2019,:
France,2020,:
