Country,Year,Value
Albania,2008,144
Albania,2009,169
Albania,2010,231
Albania,2011,265
Albania,2012,322
Albania,2013,365
Albania,2014,295
Albania,2015,231
Albania,2016,151
Albania,2017,:
Albania,2018,:
Albania,2019,:
Albania,2020,:
Albania,2021,746
Albania,2022,607
Austria,2008,104296
Austria,2009,107407
Austria,2010,88508
Austria,2011,84277
Austria,2012,85238
Austria,2013,88703
Austria,2014,85487
Austria,2015,79152
Austria,2016,80503
Austria,2017,69259
Austria,2018,58637
Austria,2019,54324
Austria,2020,48437
Austria,2021,40385
Austria,2022,49592
Belgium,2008,93363
Belgium,2009,97121
Belgium,2010,91395
Belgium,2011,97620
Belgium,2012,102451
Belgium,2013,99934
Belgium,2014,96419
Belgium,2015,91761
Belgium,2016,78953
Belgium,2017,75151
Belgium,2018,71176
Belgium,2019,66045
Belgium,2020,47667
Belgium,2021,45940
Belgium,2022,51698
Bosnia and Herzegovina,2008,3846
Bosnia and Herzegovina,2009,12617
Bosnia and Herzegovina,2010,3474
Bosnia and Herzegovina,2011,14619
Bosnia and Herzegovina,2012,13080
Bosnia and Herzegovina,2013,12107
Bosnia and Herzegovina,2014,10386
Bosnia and Herzegovina,2015,9361
Bosnia and Herzegovina,2016,7173
Bosnia and Herzegovina,2017,5739
Bosnia and Herzegovina,2018,5207
Bosnia and Herzegovina,2019,4823
Bosnia and Herzegovina,2020,4680
Bosnia and Herzegovina,2021,4200
Bosnia and Herzegovina,2022,3820
Bulgaria,2008,19980
Bulgaria,2009,23682
Bulgaria,2010,24005
Bulgaria,2011,20272
Bulgaria,2012,16781
Bulgaria,2013,17163
Bulgaria,2014,15327
Bulgaria,2015,12035
Bulgaria,2016,10161
Bulgaria,2017,8847
Bulgaria,2018,7664
Bulgaria,2019,6226
Bulgaria,2020,5344
Bulgaria,2021,4134
Bulgaria,2022,4340
Croatia,2008,17471
Croatia,2009,17080
Croatia,2010,18452
Croatia,2011,19237
Croatia,2012,19219
Croatia,2013,18483
Croatia,2014,15302
Croatia,2015,14968
Croatia,2016,12403
Croatia,2017,12821
Croatia,2018,10906
Croatia,2019,10832
Croatia,2020,8936
Croatia,2021,7594
Croatia,2022,7156
Cyprus,2008,2587
Cyprus,2009,2504
Cyprus,2010,3232
Cyprus,2011,3422
Cyprus,2012,3000
Cyprus,2013,2707
Cyprus,2014,2366
Cyprus,2015,1979
Cyprus,2016,1721
Cyprus,2017,1470
Cyprus,2018,1250
Cyprus,2019,1190
Cyprus,2020,872
Cyprus,2021,864
Cyprus,2022,1128
Czechia,2008,53381
Czechia,2009,54848
Czechia,2010,58758
Czechia,2011,59672
Czechia,2012,55554
Czechia,2013,62384
Czechia,2014,49304
Czechia,2015,34476
Czechia,2016,28220
Czechia,2017,24127
Czechia,2018,21151
Czechia,2019,22161
Czechia,2020,20661
Czechia,2021,30748
Czechia,2022,33750
Denmark,2008,93578
Denmark,2009,106972
Denmark,2010,96683
Denmark,2011,91732
