Country,Year,Value
Albania,2008,4.54
Albania,2009,5.31
Albania,2010,:
Albania,2011,9.36
Albania,2012,:
Albania,2013,:
Albania,2014,10.18
Albania,2015,7.98
Albania,2016,5.23
Albania,2017,:
Albania,2018,:
Albania,2019,:
Albania,2020,:
Albania,2021,26.36
Albania,2022,21.73
Austria,2008,1255.37
Austria,2009,1288.63
Austria,2010,1059.77
Austria,2011,1006.27
Austria,2012,1013.76
Austria,2013,1049.51
Austria,2014,1004.91
Austria,2015,922.92
Austria,2016,926.38
Austria,2017,789.47
Austria,2018,664.65
Austria,2019,613.22
Austria,2020,544.17
Austria,2021,452.1
Austria,2022,552.32
Belgium,2008,875.26
Belgium,2009,903.19
Belgium,2010,843.13
Belgium,2011,887.4
Belgium,2012,923.41
Belgium,2013,895.33
Belgium,2014,862.36
Belgium,2015,816.58
Belgium,2016,698.01
Belgium,2017,662.02
Belgium,2018,624.43
Belgium,2019,576.53
Belgium,2020,413.69
Belgium,2021,397.58
Belgium,2022,445
Bosnia and Herzegovina,2008,100.06
Bosnia and Herzegovina,2009,328.23
Bosnia and Herzegovina,2010,90.37
Bosnia and Herzegovina,2011,380.39
Bosnia and Herzegovina,2012,340.69
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,265.76
Bulgaria,2009,317.15
Bulgaria,2010,323.44
Bulgaria,2011,275.08
Bulgaria,2012,229.02
Bulgaria,2013,235.61
Bulgaria,2014,211.53
Bulgaria,2015,167.1
Bulgaria,2016,142.04
Bulgaria,2017,124.57
Bulgaria,2018,108.71
Bulgaria,2019,88.94
Bulgaria,2020,76.88
Bulgaria,2021,59.77
Bulgaria,2022,63.46
Croatia,2008,405.17
Croatia,2009,396.31
Croatia,2010,428.83
Croatia,2011,448.43
Croatia,2012,449.46
Croatia,2013,433.66
Croatia,2014,360.32
Croatia,2015,354.25
Croatia,2016,295.97
Croatia,2017,308.63
Croatia,2018,265.64
Croatia,2019,265.73
Croatia,2020,220.2
Croatia,2021,188.14
Croatia,2022,185.28
Cyprus,2008,333.23
Cyprus,2009,314.21
Cyprus,2010,394.56
Cyprus,2011,407.5
Cyprus,2012,348.02
Cyprus,2013,312.63
Cyprus,2014,275.76
Cyprus,2015,233.65
Cyprus,2016,202.87
Cyprus,2017,171.97
Cyprus,2018,144.64
Cyprus,2019,135.86
Cyprus,2020,98.2
Cyprus,2021,96.43
Cyprus,2022,124.68
Czechia,2008,516.09
Czechia,2009,526.08
Czechia,2010,561.63
Czechia,2011,569.02
Czechia,2012,528.81
Czechia,2013,593.22
Czechia,2014,469.01
Czechia,2015,327.15
Czechia,2016,267.39
Czechia,2017,228.07
Czechia,2018,199.35
Czechia,2019,208.09
Czechia,2020,193.2
Czechia,2021,292.98
Czechia,2022,320.92
Denmark,2008,1708.94
Denmark,2009,1940.9
Denmark,2010,1746.84
Denmark,2011,1649.67
Denmark,2012,1450.22
Denmark,2013,1409.25
Denmark,2014,1237.5
Denmark,2015,1119.19
Denmark,2016,1053.68
Denmark,2017,955.37
Denmark,2018,949.08
Denmark,2019,831.15
Denmark,2020,661.08
Denmark,2021,521.11
Denmark,2022,537.83
England and Wales,2008,1064.87
England and Wales,2009,982.29
England and Wales,2010,942.37
England and Wales,2011,895.81
England and Wales,2012,815.67
England and Wales,2013,780.87
England and Wales,2014,718.55
England and Wales,2015,695.62
England and Wales,2016,708.87
England and Wales,2017,747.32
England and Wales,2018,717.21
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,:
Estonia,2009,:
Estonia,2010,:
Estonia,2011,:
Estonia,2012,:
Estonia,2013,:
Estonia,2014,:
Estonia,2015,:
Estonia,2016,:
Estonia,2017,:
Estonia,2018,:
Estonia,2019,:
Estonia,2020,:
Estonia,2021,:
Estonia,2022,:
Finland,2008,464.75
Finland,2009,482.19
Finland,2010,467.7
Finland,2011,480.92
Finland,2012,450.04
Finland,2013,176.77
Finland,2014,190.98
Finland,2015,183.69
Finland,2016,157.25
Finland,2017,141.86
Finland,2018,142.46
Finland,2019,135.94
Finland,2020,140.99
Finland,2021,114.66
Finland,2022,104.72
France,2008,480.8
France,2009,497.93
France,2010,506.24
France,2011,531.71
France,2012,558.33
France,2013,587.67
France,2014,574.98
France,2015,570.41
France,2016,549.95
France,2017,547.42
France,2018,506.27
France,2019,497.96
France,2020,415.09
France,2021,398.23
France,2022,436.44
Germany,2008,474.8
Germany,2009,471.51
Germany,2010,485.73
Germany,2011,525.1
Germany,2012,535.57
Germany,2013,543.34
Germany,2014,552.29
Germany,2015,571.36
Germany,2016,526.59
Germany,2017,442.53
Germany,2018,394.25
Germany,2019,374.89
Germany,2020,358.75
Germany,2021,292.43
Germany,2022,313.09
Greece,2008,334.56
Greece,2009,359.02
Greece,2010,471.35
Greece,2011,536.02
Greece,2012,518.44
Greece,2013,446.74
Greece,2014,399.45
Greece,2015,421.76
Greece,2016,414.35
Greece,2017,181.95
Greece,2018,164.1
Greece,2019,181.8
Greece,2020,129.61
Greece,2021,125.14
Greece,2022,135.99
Hungary,2008,428.08
Hungary,2009,375.82
Hungary,2010,441.87
Hungary,2011,453.38
Hungary,2012,471.78
Hungary,2013,380.35
Hungary,2014,302.54
Hungary,2015,290.14
Hungary,2016,:
Hungary,2017,:
Hungary,2018,:
Hungary,2019,:
Hungary,2020,:
Hungary,2021,:
Hungary,2022,:
Iceland,2008,865.72
Iceland,2009,1103.43
Iceland,2010,902.31
Iceland,2011,596.64
Iceland,2012,429.95
Iceland,2013,339.28
Iceland,2014,350.97
Iceland,2015,386.81
Iceland,2016,312.15
Iceland,2017,313.29
Iceland,2018,369.06
Iceland,2019,325.22
Iceland,2020,290.83
Iceland,2021,284.17
Iceland,2022,288.64
Ireland,2008,566.69
Ireland,2009,608.27
Ireland,2010,573.58
Ireland,2011,616.73
Ireland,2012,620.57
Ireland,2013,572.65
Ireland,2014,596.81
Ireland,2015,549.68
Ireland,2016,382.58
Ireland,2017,392.21
Ireland,2018,344.09
Ireland,2019,334.71
Ireland,2020,213.01
Ireland,2021,167.45
Ireland,2022,181.46
Italy,2008,:
Italy,2009,:
Italy,2010,:
Italy,2011,:
Italy,2012,:
Italy,2013,:
