Country,Year,Value
Albania,2008,:
Albania,2009,:
Albania,2010,:
Albania,2011,:
Albania,2012,:
Albania,2013,:
Albania,2014,:
Albania,2015,:
Albania,2016,31.75
Albania,2017,35.39
Albania,2018,32.78
Albania,2019,30.53
Albania,2020,28.04
Albania,2021,32.55
Albania,2022,34.69
Austria,2008,:
Austria,2009,:
Austria,2010,:
Austria,2011,:
Austria,2012,:
Austria,2013,:
Austria,2014,:
Austria,2015,:
Austria,2016,374.04
Austria,2017,399.53
Austria,2018,429.13
Austria,2019,560.2
Austria,2020,611.28
Austria,2021,642.66
Austria,2022,784.38
Belgium,2008,:
Belgium,2009,:
Belgium,2010,:
Belgium,2011,:
Belgium,2012,:
Belgium,2013,:
Belgium,2014,:
Belgium,2015,:
Belgium,2016,491.53
Belgium,2017,510.89
Belgium,2018,579.47
Belgium,2019,709.45
Belgium,2020,830.84
Belgium,2021,880.81
Belgium,2022,977.18
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,:
Bulgaria,2009,:
Bulgaria,2010,:
Bulgaria,2011,:
Bulgaria,2012,:
Bulgaria,2013,:
Bulgaria,2014,:
Bulgaria,2015,:
Bulgaria,2016,50.39
Bulgaria,2017,47.45
Bulgaria,2018,40.43
Bulgaria,2019,30.04
Bulgaria,2020,24.04
Bulgaria,2021,23.7
Bulgaria,2022,33.62
Croatia,2008,:
Croatia,2009,:
Croatia,2010,:
Croatia,2011,:
Croatia,2012,:
Croatia,2013,:
Croatia,2014,:
Croatia,2015,:
Croatia,2016,90.82
Croatia,2017,63.53
Croatia,2018,75.22
Croatia,2019,80.91
Croatia,2020,61.78
Croatia,2021,73.04
Croatia,2022,90.31
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,:
Cyprus,2012,:
Cyprus,2013,:
Cyprus,2014,:
Cyprus,2015,:
Cyprus,2016,27.35
Cyprus,2017,28.78
Cyprus,2018,26.27
Cyprus,2019,25.23
Cyprus,2020,27.48
Cyprus,2021,45.76
Cyprus,2022,52.83
Czechia,2008,:
Czechia,2009,:
Czechia,2010,:
Czechia,2011,:
Czechia,2012,:
Czechia,2013,:
Czechia,2014,:
Czechia,2015,:
Czechia,2016,93.2
Czechia,2017,82.73
Czechia,2018,79.63
Czechia,2019,86.19
Czechia,2020,74.36
Czechia,2021,111.63
Czechia,2022,153.09
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,688.28
Denmark,2017,764.3
Denmark,2018,749.81
Denmark,2019,820.3
Denmark,2020,925.06
Denmark,2021,778.8
Denmark,2022,973.59
England and Wales,2008,:
England and Wales,2009,:
England and Wales,2010,:
England and Wales,2011,:
England and Wales,2012,:
England and Wales,2013,:
England and Wales,2014,:
England and Wales,2015,:
England and Wales,2016,:
England and Wales,2017,:
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,:
Estonia,2009,:
Estonia,2010,:
Estonia,2011,:
Estonia,2012,:
Estonia,2013,:
Estonia,2014,:
Estonia,2015,:
