Country,Year,Value
Albania,2008,88
Albania,2009,82.0
Albania,2010,118
Albania,2011,124
Albania,2012,125
Albania,2013,107
Albania,2014,98
Albania,2015,54
Albania,2016,71
Albania,2017,52
Albania,2018,51
Albania,2019,58
Albania,2020,52
Albania,2021,61
Albania,2022,42
Austria,2008,58
Austria,2009,51.0
Austria,2010,61
Austria,2011,80
Austria,2012,88
Austria,2013,63
Austria,2014,43
Austria,2015,42
Austria,2016,49
Austria,2017,61
Austria,2018,73
Austria,2019,74
Austria,2020,54
Austria,2021,59
Austria,2022,65
Belgium,2008,204
Belgium,2009,189.0
Belgium,2010,189
Belgium,2011,214
Belgium,2012,206
Belgium,2013,204
Belgium,2014,210
Belgium,2015,231
Belgium,2016,175
Belgium,2017,198
Belgium,2018,192
Belgium,2019,147
Belgium,2020,150
Belgium,2021,154
Belgium,2022,179
Bosnia and Herzegovina,2008,66
Bosnia and Herzegovina,2009,67.0
Bosnia and Herzegovina,2010,54
Bosnia and Herzegovina,2011,49
Bosnia and Herzegovina,2012,60
Bosnia and Herzegovina,2013,46
Bosnia and Herzegovina,2014,49
Bosnia and Herzegovina,2015,56
Bosnia and Herzegovina,2016,42
Bosnia and Herzegovina,2017,34
Bosnia and Herzegovina,2018,36
Bosnia and Herzegovina,2019,37
Bosnia and Herzegovina,2020,42
Bosnia and Herzegovina,2021,31
Bosnia and Herzegovina,2022,34
Bulgaria,2008,172
Bulgaria,2009,150.0
Bulgaria,2010,148
Bulgaria,2011,128
Bulgaria,2012,141
Bulgaria,2013,109
Bulgaria,2014,112
Bulgaria,2015,126
Bulgaria,2016,79
Bulgaria,2017,95
Bulgaria,2018,92
Bulgaria,2019,81
Bulgaria,2020,67
Bulgaria,2021,89
Bulgaria,2022,76
Croatia,2008,71
Croatia,2009,49.0
Croatia,2010,62
Croatia,2011,49
Croatia,2012,51
Croatia,2013,46
Croatia,2014,36
Croatia,2015,37
Croatia,2016,44
Croatia,2017,46
Croatia,2018,24
Croatia,2019,33
Croatia,2020,40
Croatia,2021,33
Croatia,2022,31
Cyprus,2008,9
Cyprus,2009,19.0
Cyprus,2010,7
Cyprus,2011,8
Cyprus,2012,19
Cyprus,2013,11
Cyprus,2014,10
Cyprus,2015,12
Cyprus,2016,11
Cyprus,2017,7
Cyprus,2018,14
Cyprus,2019,13
Cyprus,2020,15
Cyprus,2021,14
