Country,Year,Value
Albania,2008,2.78
Albania,2009,2.57
Albania,2010,:
Albania,2011,4.38
Albania,2012,:
Albania,2013,:
Albania,2014,3.38
Albania,2015,1.86
Albania,2016,2.46
Albania,2017,1.81
Albania,2018,1.78
Albania,2019,2.03
Albania,2020,1.83
Albania,2021,2.16
Albania,2022,1.5
Austria,2008,0.7
Austria,2009,0.61
Austria,2010,0.73
Austria,2011,0.96
Austria,2012,1.05
Austria,2013,0.75
Austria,2014,0.51
Austria,2015,0.49
Austria,2016,0.56
Austria,2017,0.7
Austria,2018,0.83
Austria,2019,0.84
Austria,2020,0.61
Austria,2021,0.66
Austria,2022,0.72
Belgium,2008,1.91
Belgium,2009,1.76
Belgium,2010,1.74
Belgium,2011,1.95
Belgium,2012,1.86
Belgium,2013,1.83
Belgium,2014,1.88
Belgium,2015,2.06
Belgium,2016,1.55
Belgium,2017,1.74
Belgium,2018,1.68
Belgium,2019,1.28
Belgium,2020,1.3
Belgium,2021,1.33
Belgium,2022,1.54
Bosnia and Herzegovina,2008,1.72
Bosnia and Herzegovina,2009,1.74
Bosnia and Herzegovina,2010,1.4
Bosnia and Herzegovina,2011,1.27
Bosnia and Herzegovina,2012,1.56
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,2.29
Bulgaria,2009,2.01
Bulgaria,2010,1.99
Bulgaria,2011,1.74
Bulgaria,2012,1.92
Bulgaria,2013,1.5
Bulgaria,2014,1.55
Bulgaria,2015,1.75
Bulgaria,2016,1.1
Bulgaria,2017,1.34
Bulgaria,2018,1.3
Bulgaria,2019,1.16
Bulgaria,2020,0.96
Bulgaria,2021,1.29
Bulgaria,2022,1.11
Croatia,2008,1.65
Croatia,2009,1.14
Croatia,2010,1.44
Croatia,2011,1.14
Croatia,2012,1.19
Croatia,2013,1.08
Croatia,2014,0.85
Croatia,2015,0.88
Croatia,2016,1.05
Croatia,2017,1.11
Croatia,2018,0.58
Croatia,2019,0.81
Croatia,2020,0.99
Croatia,2021,0.82
Croatia,2022,0.8
Cyprus,2008,1.16
Cyprus,2009,2.38
Cyprus,2010,0.85
Cyprus,2011,0.95
Cyprus,2012,2.2
Cyprus,2013,1.27
Cyprus,2014,1.17
Cyprus,2015,1.42
Cyprus,2016,1.3
Cyprus,2017,0.82
Cyprus,2018,1.62
Cyprus,2019,1.48
Cyprus,2020,1.69
Cyprus,2021,1.56
Cyprus,2022,0.77
Czechia,2008,1.09
Czechia,2009,1.01
Czechia,2010,1
Czechia,2011,0.79
Czechia,2012,0.9
Czechia,2013,0.86
Czechia,2014,0.77
Czechia,2015,0.84
Czechia,2016,0.62
Czechia,2017,0.38
Czechia,2018,0.52
Czechia,2019,0.76
Czechia,2020,0.53
Czechia,2021,0.43
Czechia,2022,0.75
Denmark,2008,0.96
Denmark,2009,1.01
Denmark,2010,0.89
Denmark,2011,0.88
Denmark,2012,0.77
Denmark,2013,0.73
Denmark,2014,1.1
Denmark,2015,0.92
Denmark,2016,0.93
Denmark,2017,1.06
Denmark,2018,0.93
Denmark,2019,0.93
Denmark,2020,0.88
Denmark,2021,0.72
Denmark,2022,1
England and Wales,2008,1.17
England and Wales,2009,1.08
England and Wales,2010,1.14
England and Wales,2011,0.94
England and Wales,2012,0.97
England and Wales,2013,0.92
England and Wales,2014,0.89
England and Wales,2015,0.95
England and Wales,2016,1.16
England and Wales,2017,1.2
England and Wales,2018,1.14
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,6.28
Estonia,2009,5.24
Estonia,2010,5.25
Estonia,2011,4.89
Estonia,2012,4.75
Estonia,2013,3.94
Estonia,2014,3.12
Estonia,2015,3.8
Estonia,2016,2.51
Estonia,2017,2.2
Estonia,2018,1.9
Estonia,2019,1.74
Estonia,2020,2.78
Estonia,2021,1.43
Estonia,2022,1.35
Finland,2008,3.02
Finland,2009,2.59
Finland,2010,2.49
Finland,2011,2.49
Finland,2012,1.98
Finland,2013,1.97
Finland,2014,2.05
Finland,2015,2.12
Finland,2016,1.75
Finland,2017,1.34
Finland,2018,1.72
Finland,2019,1.5
Finland,2020,1.72
Finland,2021,1.7
Finland,2022,1.5
France,2008,1.52
France,2009,1.25
France,2010,1.23
France,2011,1.35
France,2012,1.25
France,2013,1.22
France,2014,1.16
France,2015,1.32
France,2016,1.17
France,2017,1.06
France,2018,1.04
France,2019,1.12
France,2020,1.03
France,2021,1.08
France,2022,1.21
Germany,2008,0.8
Germany,2009,0.88
Germany,2010,0.85
Germany,2011,0.86
Germany,2012,0.77
Germany,2013,0.77
Germany,2014,0.8
Germany,2015,0.81
Germany,2016,0.91
Germany,2017,0.89
Germany,2018,0.76
Germany,2019,0.71
Germany,2020,0.86
Germany,2021,0.76
Germany,2022,0.74
Greece,2008,1.29
Greece,2009,1.36
Greece,2010,1.58
Greece,2011,1.65
Greece,2012,1.49
Greece,2013,1.28
Greece,2014,0.96
Greece,2015,0.79
Greece,2016,0.75
Greece,2017,0.72
Greece,2018,0.88
Greece,2019,0.71
Greece,2020,0.68
Greece,2021,0.83
Greece,2022,0.76
Hungary,2008,1.46
Hungary,2009,1.39
Hungary,2010,1.33
Hungary,2011,1.42
Hungary,2012,1.14
Hungary,2013,1.39
Hungary,2014,1.31
Hungary,2015,2.05
Hungary,2016,0.93
Hungary,2017,0.87
Hungary,2018,0.85
Hungary,2019,0.59
Hungary,2020,0.79
Hungary,2021,0.69
Hungary,2022,0.88
Iceland,2008,0
Iceland,2009,0.31
Iceland,2010,0.63
Iceland,2011,0.94
Iceland,2012,0.31
Iceland,2013,0.31
Iceland,2014,0.61
Iceland,2015,0.91
Iceland,2016,0.3
Iceland,2017,0.89
Iceland,2018,0.57
Iceland,2019,0.28
Iceland,2020,0.82
Iceland,2021,0.54
Iceland,2022,1.06
Ireland,2008,1.14
Ireland,2009,1.17
Ireland,2010,1.21
Ireland,2011,0.92
Ireland,2012,1.13
Ireland,2013,1.11
Ireland,2014,1.15
Ireland,2015,0.64
Ireland,2016,0.72
Ireland,2017,0.82
Ireland,2018,0.81
Ireland,2019,0.65
Ireland,2020,0.64
Ireland,2021,0.46
Ireland,2022,0.87
Italy,2008,1.05
Italy,2009,1.0
Italy,2010,0.89
Italy,2011,0.93
Italy,2012,0.89
Italy,2013,0.85
Italy,2014,0.8
Italy,2015,0.77
Italy,2016,0.67
Italy,2017,0.62
Italy,2018,0.59
Italy,2019,0.53
Italy,2020,0.48
Italy,2021,0.51
Italy,2022,0.55
Kosovo*,2008,5.25
Kosovo*,2009,3.35
Kosovo*,2010,4.8
Kosovo*,2011,3.46
Kosovo*,2012,:
Kosovo*,2013,:
Kosovo*,2014,:
Kosovo*,2015,:
Kosovo*,2016,1.64
Kosovo*,2017,1.85
Kosovo*,2018,2.39
Kosovo*,2019,1.28
Kosovo*,2020,1.57
Kosovo*,2021,:
Kosovo*,2022,:
Latvia,2008,4.52
Latvia,2009,4.99
Latvia,2010,3.3
Latvia,2011,3.33
Latvia,2012,4.74
