Country,Year,Value
Albania,2008,0.32
Albania,2009,0.16
Albania,2010,:
Albania,2011,0.07
Albania,2012,:
Albania,2013,:
Albania,2014,0.07
Albania,2015,0.27
Albania,2016,0.13
Albania,2017,0.07
Albania,2018,0.17
Albania,2019,0.14
Albania,2020,0.18
Albania,2021,0.14
Albania,2022,0.14
Austria,2008,0.13
Austria,2009,0.06
Austria,2010,0.11
Austria,2011,0.06
Austria,2012,0.13
Austria,2013,0.05
Austria,2014,0.01
Austria,2015,0.03
Austria,2016,0.02
Austria,2017,0.03
Austria,2018,0.06
Austria,2019,0.07
Austria,2020,0.03
Austria,2021,0.03
Austria,2022,0.1
Belgium,2008,9.5
Belgium,2009,10.04
Belgium,2010,10.35
Belgium,2011,10.85
Belgium,2012,10.68
Belgium,2013,10.42
Belgium,2014,10.29
Belgium,2015,10.42
Belgium,2016,10.62
Belgium,2017,10.31
Belgium,2018,:
Belgium,2019,:
Belgium,2020,:
Belgium,2021,:
Belgium,2022,:
Bosnia and Herzegovina,2008,0.21
Bosnia and Herzegovina,2009,0.16
Bosnia and Herzegovina,2010,0.03
Bosnia and Herzegovina,2011,0.03
Bosnia and Herzegovina,2012,0.05
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,1.69
Bulgaria,2009,1.9
Bulgaria,2010,1.59
Bulgaria,2011,1.04
Bulgaria,2012,1.02
Bulgaria,2013,1.19
Bulgaria,2014,1.31
Bulgaria,2015,1.03
Bulgaria,2016,0.98
Bulgaria,2017,1.44
Bulgaria,2018,0.89
Bulgaria,2019,1.03
Bulgaria,2020,1.17
Bulgaria,2021,1
Bulgaria,2022,1.21
Croatia,2008,0.37
Croatia,2009,0.28
Croatia,2010,0.3
Croatia,2011,0.14
Croatia,2012,0.14
Croatia,2013,0.02
Croatia,2014,0.02
Croatia,2015,0
Croatia,2016,0.02
Croatia,2017,0
Croatia,2018,0
Croatia,2019,0.02
Croatia,2020,0.02
Croatia,2021,0.07
Croatia,2022,0
Cyprus,2008,1.55
Cyprus,2009,3.26
Cyprus,2010,3.3
Cyprus,2011,1.43
Cyprus,2012,0.58
Cyprus,2013,0.46
Cyprus,2014,0.93
Cyprus,2015,0
Cyprus,2016,0.12
Cyprus,2017,1.05
Cyprus,2018,0.46
Cyprus,2019,0.91
Cyprus,2020,0.23
Cyprus,2021,0.33
Cyprus,2022,0.66
Czechia,2008,0.15
Czechia,2009,0.12
Czechia,2010,0.15
Czechia,2011,0.1
Czechia,2012,0.16
Czechia,2013,0.19
Czechia,2014,0.14
Czechia,2015,0.11
Czechia,2016,0.17
Czechia,2017,0.16
Czechia,2018,0.12
Czechia,2019,0.11
Czechia,2020,0.1
Czechia,2021,0.02
Czechia,2022,0.02
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,:
Denmark,2017,:
Denmark,2018,:
Denmark,2019,:
Denmark,2020,:
Denmark,2021,:
Denmark,2022,:
England and Wales,2008,3.73
England and Wales,2009,3.38
England and Wales,2010,3.1
England and Wales,2011,2.71
England and Wales,2012,2.46
England and Wales,2013,3.04
England and Wales,2014,3.83
England and Wales,2015,5.24
England and Wales,2016,6.62
England and Wales,2017,7.73
England and Wales,2018,8.86
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,0.15
Estonia,2009,0
Estonia,2010,0
Estonia,2011,0.23
Estonia,2012,0
Estonia,2013,0.08
Estonia,2014,0
Estonia,2015,0
Estonia,2016,0
Estonia,2017,0
Estonia,2018,0
Estonia,2019,0
Estonia,2020,0
Estonia,2021,0
Estonia,2022,0
Finland,2008,0
Finland,2009,0.06
Finland,2010,0.02
Finland,2011,0.06
Finland,2012,0.02
Finland,2013,0.02
Finland,2014,0.02
Finland,2015,0.02
Finland,2016,0.05
Finland,2017,0.04
Finland,2018,0.07
Finland,2019,0.02
Finland,2020,0.05
Finland,2021,0.04
Finland,2022,0.04
France,2008,3.24
France,2009,3.24
France,2010,3.24
France,2011,3.44
France,2012,3.24
France,2013,3.45
France,2014,4.48
France,2015,5.74
France,2016,5.72
France,2017,:
France,2018,:
France,2019,:
France,2020,:
France,2021,:
France,2022,:
Germany,2008,2.26
Germany,2009,6.25
Germany,2010,5.99
Germany,2011,6.14
Germany,2012,6.45
Germany,2013,6.12
Germany,2014,6.18
Germany,2015,5.87
Germany,2016,5.79
Germany,2017,5.6
Germany,2018,5.51
Germany,2019,5.44
Germany,2020,5.49
Germany,2021,6.09
Germany,2022,5.88
Greece,2008,0.27
Greece,2009,0.14
Greece,2010,1.56
Greece,2011,1.42
Greece,2012,1.25
Greece,2013,0.86
Greece,2014,0.53
Greece,2015,0.82
Greece,2016,0.57
Greece,2017,0.72
Greece,2018,0.69
Greece,2019,0.67
Greece,2020,0.68
Greece,2021,0.58
Greece,2022,0.94
Hungary,2008,0.11
Hungary,2009,0.14
Hungary,2010,0.18
Hungary,2011,0.12
Hungary,2012,0.09
Hungary,2013,0.07
Hungary,2014,0.03
Hungary,2015,0.11
Hungary,2016,0.05
