Country,Year,Value
Albania,2008,:
Albania,2009,:
Albania,2010,:
Albania,2011,:
Albania,2012,:
Albania,2013,:
Albania,2014,:
Albania,2015,:
Albania,2016,365
Albania,2017,379
Albania,2018,351
Albania,2019,401
Albania,2020,417
Albania,2021,392
Albania,2022,475
Austria,2008,:
Austria,2009,:
Austria,2010,:
Austria,2011,:
Austria,2012,:
Austria,2013,:
Austria,2014,:
Austria,2015,:
Austria,2016,562
Austria,2017,622
Austria,2018,666
Austria,2019,430
Austria,2020,527
Austria,2021,742
Austria,2022,755
Belgium,2008,:
Belgium,2009,:
Belgium,2010,:
Belgium,2011,:
Belgium,2012,:
Belgium,2013,:
Belgium,2014,:
Belgium,2015,:
Belgium,2016,882
Belgium,2017,905
Belgium,2018,1354
Belgium,2019,2375
Belgium,2020,6093
Belgium,2021,6417
Belgium,2022,4089
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,19
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,25
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,44
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,114
Bulgaria,2008,:
Bulgaria,2009,:
Bulgaria,2010,:
Bulgaria,2011,:
Bulgaria,2012,:
Bulgaria,2013,:
Bulgaria,2014,:
Bulgaria,2015,:
Bulgaria,2016,31
Bulgaria,2017,45
Bulgaria,2018,38
Bulgaria,2019,31
Bulgaria,2020,48
Bulgaria,2021,44
Bulgaria,2022,41
Croatia,2008,:
Croatia,2009,:
Croatia,2010,:
Croatia,2011,:
Croatia,2012,:
Croatia,2013,:
Croatia,2014,:
Croatia,2015,:
Croatia,2016,58
Croatia,2017,6
Croatia,2018,26
Croatia,2019,41
Croatia,2020,21
Croatia,2021,52
Croatia,2022,79
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,:
Cyprus,2012,:
Cyprus,2013,:
Cyprus,2014,:
Cyprus,2015,:
Cyprus,2016,:
Cyprus,2017,:
Cyprus,2018,:
Cyprus,2019,:
Cyprus,2020,:
Cyprus,2021,:
Cyprus,2022,:
Czechia,2008,:
Czechia,2009,:
Czechia,2010,:
Czechia,2011,:
Czechia,2012,:
Czechia,2013,:
Czechia,2014,:
Czechia,2015,:
Czechia,2016,1180
Czechia,2017,933
Czechia,2018,780
Czechia,2019,626
Czechia,2020,556
Czechia,2021,564
Czechia,2022,691
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,4
Denmark,2017,113
Denmark,2018,105
Denmark,2019,258
Denmark,2020,1184
Denmark,2021,2557
Denmark,2022,5903
England and Wales,2008,:
England and Wales,2009,:
England and Wales,2010,:
England and Wales,2011,:
England and Wales,2012,:
England and Wales,2013,:
England and Wales,2014,:
England and Wales,2015,:
England and Wales,2016,:
England and Wales,2017,:
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,:
Estonia,2009,:
Estonia,2010,:
Estonia,2011,:
Estonia,2012,:
Estonia,2013,:
Estonia,2014,:
Estonia,2015,:
Estonia,2016,68
Estonia,2017,41
Estonia,2018,101
Estonia,2019,190
Estonia,2020,21
Estonia,2021,18
Estonia,2022,20
Finland,2008,:
Finland,2009,:
Finland,2010,:
Finland,2011,:
