Country,Year,Value
Albania,2008,:
Albania,2009,:
Albania,2010,:
Albania,2011,:
Albania,2012,:
Albania,2013,:
Albania,2014,:
Albania,2015,:
Albania,2016,12.69
Albania,2017,13.18
Albania,2018,12.23
Albania,2019,14.01
Albania,2020,14.65
Albania,2021,13.85
Albania,2022,17
Austria,2008,:
Austria,2009,:
Austria,2010,:
Austria,2011,:
Austria,2012,:
Austria,2013,:
Austria,2014,:
Austria,2015,:
Austria,2016,6.46
Austria,2017,7.09
Austria,2018,7.55
Austria,2019,4.85
Austria,2020,5.92
Austria,2021,8.31
Austria,2022,8.41
Belgium,2008,:
Belgium,2009,:
Belgium,2010,:
Belgium,2011,:
Belgium,2012,:
Belgium,2013,:
Belgium,2014,:
Belgium,2015,:
Belgium,2016,7.8
Belgium,2017,7.97
Belgium,2018,11.88
Belgium,2019,20.73
Belgium,2020,52.88
Belgium,2021,55.54
Belgium,2022,35.2
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,:
Bulgaria,2009,:
Bulgaria,2010,:
Bulgaria,2011,:
Bulgaria,2012,:
Bulgaria,2013,:
Bulgaria,2014,:
Bulgaria,2015,:
Bulgaria,2016,0.43
Bulgaria,2017,0.63
Bulgaria,2018,0.54
Bulgaria,2019,0.44
Bulgaria,2020,0.69
Bulgaria,2021,0.64
Bulgaria,2022,0.6
Croatia,2008,:
Croatia,2009,:
Croatia,2010,:
Croatia,2011,:
Croatia,2012,:
Croatia,2013,:
Croatia,2014,:
Croatia,2015,:
Croatia,2016,1.38
Croatia,2017,0.14
Croatia,2018,0.63
Croatia,2019,1.01
Croatia,2020,0.52
Croatia,2021,1.29
Croatia,2022,2.05
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,:
Cyprus,2012,:
Cyprus,2013,:
Cyprus,2014,:
Cyprus,2015,:
Cyprus,2016,:
Cyprus,2017,:
Cyprus,2018,:
Cyprus,2019,:
Cyprus,2020,:
Cyprus,2021,:
Cyprus,2022,:
Czechia,2008,:
Czechia,2009,:
Czechia,2010,:
Czechia,2011,:
Czechia,2012,:
Czechia,2013,:
Czechia,2014,:
Czechia,2015,:
Czechia,2016,11.18
Czechia,2017,8.82
Czechia,2018,7.35
Czechia,2019,5.88
Czechia,2020,5.2
Czechia,2021,5.37
Czechia,2022,6.57
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,0.07
Denmark,2017,1.97
Denmark,2018,1.82
Denmark,2019,4.44
Denmark,2020,20.33
Denmark,2021,43.78
Denmark,2022,100.5
England and Wales,2008,:
England and Wales,2009,:
England and Wales,2010,:
England and Wales,2011,:
England and Wales,2012,:
England and Wales,2013,:
England and Wales,2014,:
England and Wales,2015,:
England and Wales,2016,:
England and Wales,2017,:
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,:
Estonia,2009,:
Estonia,2010,:
Estonia,2011,:
Estonia,2012,:
Estonia,2013,:
Estonia,2014,:
Estonia,2015,:
Estonia,2016,5.17
Estonia,2017,3.12
