Country,Year,Value
Albania,2008,144
Albania,2009,169
Albania,2010,236
Albania,2011,268.0
Albania,2012,326.0
Albania,2013,371
Albania,2014,297
Albania,2015,234
Albania,2016,159.0
Albania,2017,183.0
Albania,2018,133
Albania,2019,98
Albania,2020,82
Albania,2021,80
Albania,2022,78
Austria,2008,4786
Austria,2009,4577
Austria,2010,4310
Austria,2011,4066.0
Austria,2012,4092.0
Austria,2013,3737
Austria,2014,3481
Austria,2015,3416
Austria,2016,3103.0
Austria,2017,2610.0
Austria,2018,2396
Austria,2019,2628
Austria,2020,2137
Austria,2021,2118
Austria,2022,2536
Belgium,2008,22877
Belgium,2009,23581
Belgium,2010,23856
Belgium,2011,27341.0
Belgium,2012,25608.0
Belgium,2013,22879
Belgium,2014,21928
Belgium,2015,20278
Belgium,2016,18678.0
Belgium,2017,17645.0
Belgium,2018,16483
Belgium,2019,16297
Belgium,2020,11869
Belgium,2021,11567
Belgium,2022,12126
Bosnia and Herzegovina,2008,746
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,975.0
Bosnia and Herzegovina,2012,1010.0
Bosnia and Herzegovina,2013,1103
Bosnia and Herzegovina,2014,1025
Bosnia and Herzegovina,2015,111
Bosnia and Herzegovina,2016,1015.0
Bosnia and Herzegovina,2017,660.0
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,660
Bosnia and Herzegovina,2020,520
Bosnia and Herzegovina,2021,416
Bosnia and Herzegovina,2022,405
Bulgaria,2008,2868
Bulgaria,2009,3596
Bulgaria,2010,3737
Bulgaria,2011,3110.0
Bulgaria,2012,2955.0
Bulgaria,2013,2977
Bulgaria,2014,2326
Bulgaria,2015,1946
Bulgaria,2016,1666.0
Bulgaria,2017,1558.0
Bulgaria,2018,1265
Bulgaria,2019,1183
Bulgaria,2020,1002
Bulgaria,2021,840
Bulgaria,2022,902
Croatia,2008,1259
Croatia,2009,1411
Croatia,2010,1245
Croatia,2011,1382.0
Croatia,2012,1588.0
Croatia,2013,1523
Croatia,2014,1268
Croatia,2015,1311
Croatia,2016,1068.0
Croatia,2017,864.0
Croatia,2018,779
Croatia,2019,838
Croatia,2020,632
Croatia,2021,604
Croatia,2022,708
Cyprus,2008,71
Cyprus,2009,142
Cyprus,2010,156
Cyprus,2011,137.0
Cyprus,2012,173.0
Cyprus,2013,149
Cyprus,2014,104
Cyprus,2015,78
Cyprus,2016,93.0
Cyprus,2017,103.0
Cyprus,2018,73
Cyprus,2019,55
Cyprus,2020,78
Cyprus,2021,68
Cyprus,2022,96
Czechia,2008,4641
Czechia,2009,4687
Czechia,2010,4019
Czechia,2011,3881.0
Czechia,2012,3416.0
Czechia,2013,3051
Czechia,2014,2547
Czechia,2015,2022
Czechia,2016,1646.0
Czechia,2017,1585.0
Czechia,2018,1406
Czechia,2019,1439
Czechia,2020,1248
Czechia,2021,1230
Czechia,2022,1422
Denmark,2008,3400
