Country,Year,Value
Albania,2008,4.54
Albania,2009,5.31
Albania,2010,:
Albania,2011,9.46
Albania,2012,:
Albania,2013,:
Albania,2014,10.25
Albania,2015,8.11
Albania,2016,5.53
Albania,2017,6.36
Albania,2018,4.63
Albania,2019,3.42
Albania,2020,2.88
Albania,2021,2.83
Albania,2022,2.79
Austria,2008,57.61
Austria,2009,54.91
Austria,2010,51.61
Austria,2011,48.55
Austria,2012,48.67
Austria,2013,44.22
Austria,2014,40.92
Austria,2015,39.79
Austria,2016,35.66
Austria,2017,29.75
Austria,2018,27.16
Austria,2019,29.67
Austria,2020,24.01
Austria,2021,23.71
Austria,2022,28.24
Belgium,2008,214.47
Belgium,2009,219.3
Belgium,2010,220.08
Belgium,2011,248.54
Belgium,2012,230.81
Belgium,2013,204.98
Belgium,2014,196.12
Belgium,2015,180.45
Belgium,2016,165.13
Belgium,2017,155.44
Belgium,2018,144.61
Belgium,2019,142.26
Belgium,2020,103.01
Belgium,2021,100.11
Belgium,2022,104.38
Bosnia and Herzegovina,2008,19.41
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,25.37
Bosnia and Herzegovina,2012,26.31
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,38.15
Bulgaria,2009,48.16
Bulgaria,2010,50.35
Bulgaria,2011,42.2
Bulgaria,2012,40.33
Bulgaria,2013,40.87
Bulgaria,2014,32.1
Bulgaria,2015,27.02
Bulgaria,2016,23.29
Bulgaria,2017,21.94
Bulgaria,2018,17.94
Bulgaria,2019,16.9
Bulgaria,2020,14.41
Bulgaria,2021,12.14
Bulgaria,2022,13.19
Croatia,2008,29.2
Croatia,2009,32.74
Croatia,2010,28.93
Croatia,2011,32.22
Croatia,2012,37.14
Croatia,2013,35.73
Croatia,2014,29.86
Croatia,2015,31.03
Croatia,2016,25.49
Croatia,2017,20.8
Croatia,2018,18.97
Croatia,2019,20.56
Croatia,2020,15.57
Croatia,2021,14.96
Croatia,2022,18.33
Cyprus,2008,9.15
Cyprus,2009,17.82
Cyprus,2010,19.04
Cyprus,2011,16.31
Cyprus,2012,20.07
Cyprus,2013,17.21
Cyprus,2014,12.12
Cyprus,2015,9.21
Cyprus,2016,10.96
Cyprus,2017,12.05
Cyprus,2018,8.45
Cyprus,2019,6.28
Cyprus,2020,8.78
Cyprus,2021,7.59
Cyprus,2022,10.61
Czechia,2008,44.87
Czechia,2009,44.96
Czechia,2010,38.41
Czechia,2011,37.01
Czechia,2012,32.52
Czechia,2013,29.01
Czechia,2014,24.23
Czechia,2015,19.19
Czechia,2016,15.6
Czechia,2017,14.98
Czechia,2018,13.25
Czechia,2019,13.51
Czechia,2020,11.67
Czechia,2021,11.49
Czechia,2022,13.52
Denmark,2008,62.09
Denmark,2009,72.65
Denmark,2010,60.92
Denmark,2011,58.28
Denmark,2012,53.81
Denmark,2013,57.12
Denmark,2014,41.26
Denmark,2015,35.94
Denmark,2016,38.28
Denmark,2017,35.52
Denmark,2018,31.46
Denmark,2019,29.25
Denmark,2020,28.08
Denmark,2021,22.04
Denmark,2022,23.94
England and Wales,2008,146.72
England and Wales,2009,136.46
England and Wales,2010,137.37
England and Wales,2011,133.53
England and Wales,2012,115.58
England and Wales,2013,101.88
England and Wales,2014,87.71
England and Wales,2015,88.7
England and Wales,2016,102.06
England and Wales,2017,131.63
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,67.91
Estonia,2009,54.35
Estonia,2010,44.93
Estonia,2011,39.48
Estonia,2012,34.48
Estonia,2013,36.06
Estonia,2014,27.36
Estonia,2015,25.63
Estonia,2016,18.85
Estonia,2017,15.28
Estonia,2018,12.89
Estonia,2019,11.47
Estonia,2020,8.5
Estonia,2021,9.7
Estonia,2022,7.36
Finland,2008,31.99
Finland,2009,30.79
Finland,2010,28.17
Finland,2011,30.17
Finland,2012,29.91
Finland,2013,28.07
Finland,2014,30.95
Finland,2015,28.29
Finland,2016,30.43
Finland,2017,29.8
Finland,2018,30.84
Finland,2019,32.71
Finland,2020,36.11
Finland,2021,34.19
Finland,2022,41.98
France,2008,166.6
France,2009,175.24
France,2010,187.19
France,2011,186.16
France,2012,189.67
France,2013,190.02
France,2014,173.02
France,2015,156.59
France,2016,158.52
France,2017,149.4
France,2018,137.99
France,2019,133.92
France,2020,110.2
France,2021,104.21
France,2022,100.19
Germany,2008,60.71
Germany,2009,60.14
Germany,2010,58.88
Germany,2011,59.86
Germany,2012,60.64
Germany,2013,58.66
Germany,2014,56.3
Germany,2015,55.01
Germany,2016,52.34
Germany,2017,47.08
Germany,2018,44.4
Germany,2019,43.43
Germany,2020,40.73
Germany,2021,36.23
Germany,2022,45.89
Greece,2008,29.45
Greece,2009,42.5
Greece,2010,54.67
Greece,2011,59.66
Greece,2012,54.05
Greece,2013,44.7
Greece,2014,34.78
Greece,2015,39.75
Greece,2016,43.94
Greece,2017,39.66
Greece,2018,40.57
Greece,2019,40.42
Greece,2020,23.71
Greece,2021,22.5
Greece,2022,27.08
Hungary,2008,31.14
Hungary,2009,31.49
Hungary,2010,33.91
Hungary,2011,32.08
Hungary,2012,30.57
Hungary,2013,23.19
Hungary,2014,19.78
Hungary,2015,14.61
Hungary,2016,11.23
Hungary,2017,8.58
Hungary,2018,7.12
Hungary,2019,6.48
Hungary,2020,6.22
Hungary,2021,5.56
Hungary,2022,5.5
Iceland,2008,13.63
Iceland,2009,18.79
Iceland,2010,13.22
Iceland,2011,13.19
Iceland,2012,15.65
Iceland,2013,15.22
Iceland,2014,15.66
Iceland,2015,16.1
Iceland,2016,15.04
Iceland,2017,14.48
Iceland,2018,22.1
Iceland,2019,15.13
Iceland,2020,20.6
Iceland,2021,16.27
Iceland,2022,17.54
Ireland,2008,52.22
Ireland,2009,55.78
Ireland,2010,71.08
Ireland,2011,64.62
Ireland,2012,61.33
Ireland,2013,60.88
Ireland,2014,57.14
Ireland,2015,51.82
Ireland,2016,41.36
Ireland,2017,42.18
Ireland,2018,45.11
Ireland,2019,41.52
Ireland,2020,28.24
Ireland,2021,23.41
Ireland,2022,27.83
Italy,2008,110.03
Italy,2009,85.99
