Country,Year,Value
Albania,2008,12.56
Albania,2009,15.83
Albania,2010,:
Albania,2011,21.58
Albania,2012,:
Albania,2013,:
Albania,2014,13.84
Albania,2015,9.57
Albania,2016,10.32
Albania,2017,11.44
Albania,2018,8.78
Albania,2019,11.11
Albania,2020,6.99
Albania,2021,7.32
Albania,2022,4.26
Austria,2008,108.92
Austria,2009,111.45
Austria,2010,61.66
Austria,2011,61.59
Austria,2012,52.88
Austria,2013,135.8
Austria,2014,121.13
Austria,2015,113.6
Austria,2016,103.83
Austria,2017,57.14
Austria,2018,48.25
Austria,2019,44.22
Austria,2020,34.91
Austria,2021,31.29
Austria,2022,34.79
Belgium,2008,218.46
Belgium,2009,203.72
Belgium,2010,183.13
Belgium,2011,176.13
Belgium,2012,155.14
Belgium,2013,141.5
Belgium,2014,141.16
Belgium,2015,172.43
Belgium,2016,154.18
Belgium,2017,139.58
Belgium,2018,123.02
Belgium,2019,110.78
Belgium,2020,79.23
Belgium,2021,81.65
Belgium,2022,92.17
Bosnia and Herzegovina,2008,44.88
Bosnia and Herzegovina,2009,45.21
Bosnia and Herzegovina,2010,42.35
Bosnia and Herzegovina,2011,28.39
Bosnia and Herzegovina,2012,34.59
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,60.8
Bulgaria,2009,59.25
Bulgaria,2010,52.68
Bulgaria,2011,43.65
Bulgaria,2012,41.8
Bulgaria,2013,48.98
Bulgaria,2014,51.11
Bulgaria,2015,55.65
Bulgaria,2016,44.62
Bulgaria,2017,33.17
Bulgaria,2018,29.33
Bulgaria,2019,23.3
Bulgaria,2020,25.23
Bulgaria,2021,19.43
Bulgaria,2022,21.99
Croatia,2008,44.69
Croatia,2009,42.42
Croatia,2010,32.12
Croatia,2011,30.65
Croatia,2012,26.71
Croatia,2013,20.32
Croatia,2014,14.91
Croatia,2015,17.99
Croatia,2016,21.24
Croatia,2017,20.56
Croatia,2018,22.48
Croatia,2019,44.82
Croatia,2020,37.18
Croatia,2021,41.4
Croatia,2022,44.09
Cyprus,2008,230.06
Cyprus,2009,204.16
Cyprus,2010,208.15
Cyprus,2011,212.32
Cyprus,2012,202.9
Cyprus,2013,152.1
Cyprus,2014,138.34
Cyprus,2015,113.46
Cyprus,2016,116.58
Cyprus,2017,112.31
Cyprus,2018,:
Cyprus,2019,:
Cyprus,2020,:
Cyprus,2021,:
Cyprus,2022,:
Czechia,2008,305.45
Czechia,2009,657.17
Czechia,2010,586.68
Czechia,2011,530.19
Czechia,2012,470.86
Czechia,2013,507.03
Czechia,2014,390.82
Czechia,2015,288.35
Czechia,2016,86.8
Czechia,2017,77.64
Czechia,2018,66.23
Czechia,2019,62.62
Czechia,2020,56.92
Czechia,2021,29.98
Czechia,2022,32.98
Denmark,2008,31.96
Denmark,2009,36.27
Denmark,2010,26.92
Denmark,2011,23.49
Denmark,2012,19.66
Denmark,2013,19.08
Denmark,2014,17.88
Denmark,2015,14.93
Denmark,2016,14.1
Denmark,2017,14.16
Denmark,2018,13.42
Denmark,2019,13.68
Denmark,2020,15.22
Denmark,2021,15.91
Denmark,2022,20.35
England and Wales,2008,269.59
England and Wales,2009,213.82
England and Wales,2010,191.4
England and Wales,2011,164.58
England and Wales,2012,141.6
England and Wales,2013,132.68
England and Wales,2014,132.28
England and Wales,2015,142.01
England and Wales,2016,167.13
England and Wales,2017,191.29
England and Wales,2018,203.72
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,77.33
Estonia,2009,69.92
Estonia,2010,65.25
Estonia,2011,56.56
Estonia,2012,46.78
Estonia,2013,41.43
Estonia,2014,45.37
Estonia,2015,38.41
Estonia,2016,28.34
Estonia,2017,13.68
Estonia,2018,10.16
Estonia,2019,12.3
Estonia,2020,8.13
Estonia,2021,8.27
Estonia,2022,6.83
Finland,2008,260.4
Finland,2009,228.8
Finland,2010,228.4
Finland,2011,222.9
Finland,2012,163.2
Finland,2013,139.7
Finland,2014,146.42
Finland,2015,134.87
Finland,2016,114.25
Finland,2017,106.32
Finland,2018,103.86
Finland,2019,101.45
Finland,2020,117.03
Finland,2021,101.02
Finland,2022,99.18
France,2008,330.41
France,2009,323.15
France,2010,302.15
France,2011,287.52
France,2012,273.19
France,2013,264.07
France,2014,256.41
France,2015,252.78
France,2016,241.93
France,2017,:
France,2018,:
France,2019,:
France,2020,:
France,2021,:
France,2022,:
Germany,2008,108.29
Germany,2009,106.94
Germany,2010,93.06
Germany,2011,88.31
Germany,2012,79.69
Germany,2013,73.93
Germany,2014,72.31
Germany,2015,69.66
Germany,2016,72.57
Germany,2017,65.58
Germany,2018,60.92
Germany,2019,58.49
Germany,2020,51.59
Germany,2021,47.11
Germany,2022,:
Greece,2008,212.91
Greece,2009,240.73
Greece,2010,248.1
Greece,2011,633.95
Greece,2012,281.12
Greece,2013,261.73
Greece,2014,228.67
Greece,2015,244.28
Greece,2016,242.77
Greece,2017,330.96
Greece,2018,227.94
Greece,2019,202.43
Greece,2020,143.68
Greece,2021,139.49
Greece,2022,175.82
Hungary,2008,79.46
Hungary,2009,79.9
Hungary,2010,58.58
Hungary,2011,61.72
Hungary,2012,69.68
Hungary,2013,57.44
Hungary,2014,48.63
Hungary,2015,32.22
Hungary,2016,:
Hungary,2017,:
Hungary,2018,:
Hungary,2019,:
Hungary,2020,:
Hungary,2021,:
Hungary,2022,:
Iceland,2008,135.36
Iceland,2009,170.96
Iceland,2010,141.67
Iceland,2011,139.11
Iceland,2012,104.83
Iceland,2013,74.26
Iceland,2014,120.37
Iceland,2015,20.96
Iceland,2016,17.14
Iceland,2017,23.64
Iceland,2018,22.1
Iceland,2019,7
Iceland,2020,7.96
Iceland,2021,3.53
Iceland,2022,5.85
Ireland,2008,324.4
Ireland,2009,294.4
Ireland,2010,255.39
Ireland,2011,229.29
Ireland,2012,184.99
Ireland,2013,160.29
Ireland,2014,167.41
Ireland,2015,104.8
Ireland,2016,71.87
Ireland,2017,72.26
Ireland,2018,77.07
Ireland,2019,73.1
Ireland,2020,52.05
Ireland,2021,55.47
Ireland,2022,81.21
Italy,2008,392.07
Italy,2009,361.7
Italy,2010,333.81
Italy,2011,334.84
Italy,2012,330.99
Italy,2013,307.42
Italy,2014,290.31
Italy,2015,272.47
Italy,2016,258.7
Italy,2017,240.57
Italy,2018,233.34
Italy,2019,219.25
Italy,2020,169.42
Italy,2021,185.99
Italy,2022,213.05
Kosovo*,2008,21.5
Kosovo*,2009,17.84
Kosovo*,2010,15.35
Kosovo*,2011,24.19
Kosovo*,2012,:
Kosovo*,2013,:
Kosovo*,2014,:
Kosovo*,2015,:
Kosovo*,2016,16.65
Kosovo*,2017,13.06
Kosovo*,2018,11.9
Kosovo*,2019,8.24
Kosovo*,2020,6.51
Kosovo*,2021,:
Kosovo*,2022,:
Latvia,2008,100.6
Latvia,2009,96.91
Latvia,2010,67.96
Latvia,2011,:
Latvia,2012,44.5
Latvia,2013,66.56
Latvia,2014,66.1
Latvia,2015,74.67
Latvia,2016,49.52
Latvia,2017,17.54
Latvia,2018,17.32
Latvia,2019,23.54
Latvia,2020,40.42
Latvia,2021,22.55
Latvia,2022,26.92
Liechtenstein,2008,45.25
Liechtenstein,2009,19.67
Liechtenstein,2010,8.36
Liechtenstein,2011,2.77
Liechtenstein,2012,16.45
Liechtenstein,2013,13.57
Liechtenstein,2014,13.47
Liechtenstein,2015,37.47
Liechtenstein,2016,82.4
Liechtenstein,2017,5.29
Liechtenstein,2018,13.12
Liechtenstein,2019,10.42
Liechtenstein,2020,15.49
Liechtenstein,2021,15.36
Liechtenstein,2022,35.62
Lithuania,2008,79.47
Lithuania,2009,61.78
Lithuania,2010,65.56
Lithuania,2011,59.2
Lithuania,2012,57.4
Lithuania,2013,50.61
Lithuania,2014,42.64
Lithuania,2015,38.96
Lithuania,2016,43.72
Lithuania,2017,35.08
Lithuania,2018,28.02
Lithuania,2019,23.84
Lithuania,2020,20.33
Lithuania,2021,11.91
Lithuania,2022,14.36
Luxembourg,2008,71.1
Luxembourg,2009,84.9
Luxembourg,2010,83.26
Luxembourg,2011,89.09
Luxembourg,2012,70.88
Luxembourg,2013,425.48
Luxembourg,2014,407.51
Luxembourg,2015,53.65
Luxembourg,2016,42
Luxembourg,2017,48.76
Luxembourg,2018,48.67
Luxembourg,2019,262.59
Luxembourg,2020,281.58
Luxembourg,2021,284.85
Luxembourg,2022,371.86
Malta,2008,97.59
Malta,2009,97.58
