country,year,crime_index,weighted_infractions
Albanie,2008,0.01108466895620894,32670.0
Albanie,2009,0.011516919275331773,33716.0
Albanie,2010,0.012469185769687209,36323.0
Albanie,2011,0.013718528360402658,39855.0
Albanie,2012,0.016368771076826962,47476.0
Albanie,2013,0.016959391964055028,49099.0
Albanie,2014,0.021733381698962724,62790.0
Albanie,2015,0.020724107969478284,59700.0
Albanie,2016,0.02329160206821666,66989.0
Albanie,2017,0.020053545259246963,57623.0
Albanie,2018,0.019745141600404133,56597.0
Albanie,2019,0.01990686677941315,56818.0
Albanie,2020,0.01616329832912181,45869.0
Albanie,2021,0.020800834807548265,58485.0
Albanie,2022,0.01909933041460005,53052.0
Allemagne,2008,0.21348529158356735,17529298.0
Allemagne,2009,0.14479758183124194,11859256.0
Allemagne,2010,0.1378793505698979,11275350.0
Allemagne,2011,0.14527035153654283,11661575.0
Allemagne,2012,0.14542610275806564,11696014.0
Allemagne,2013,0.14685125122441575,11842908.0
Allemagne,2014,0.14987504707807242,12137256.0
Allemagne,2015,0.1523274481297798,12443113.0
Allemagne,2016,0.1720695692118594,14169700.0
Allemagne,2017,0.160525420459842,13268550.0
Allemagne,2018,0.153310525434764,12710329.0
Allemagne,2019,0.14977033794992167,12444861.0
Allemagne,2020,0.14410722081061417,11984082.0
Allemagne,2021,0.1377884544028626,11463459.0
Allemagne,2022,0.14527255040798415,12173547.0
Autriche,2008,0.18018382752332032,1499399.0
Autriche,2009,0.18137893019364107,1513303.0
Autriche,2010,0.15301831646540093,1279754.0
Autriche,2011,0.14866433188351794,1247538.0
Autriche,2012,0.1491267309775301,1257137.0
Autriche,2013,0.1749884402068298,1483871.0
Autriche,2014,0.1694331478819745,1448036.0
Autriche,2015,0.16142677189151214,1395163.0
Autriche,2016,0.1788542268059173,1562590.0
Autriche,2017,0.16397012537331349,1442538.0
Autriche,2018,0.15006513756372503,1326654.0
Autriche,2019,0.15176307894665717,1347644.0
Autriche,2020,0.13180351298393694,1175274.0
Autriche,2021,0.11901978126569863,1065917.0
Autriche,2022,0.13990829974968622,1265030.0
Belgique,2008,0.27034960779079464,2895437.0
Belgique,2009,0.27490065524054896,2967963.0
Belgique,2010,0.25839500509655927,2815365.0
Belgique,2011,0.26896829066599603,2968943.0
Belgique,2012,0.2627718437458697,2918589.0
Belgique,2013,0.24988648590377607,2788585.0
Belgique,2014,0.260044087562406,2914849.0
