Country,Crime Type,UN_x,lat_x,lon_x,Year,Value,FIPS,ISO2,ISO3,UN_y,NAME,lat_y,lon_y
Albanie,Actes contre les systèmes informatiques,8.0,41.1422845912,20.0683841514,2015.0,3.8857142857142857,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Actes illicites impliquant des drogues ou des précurseurs contrôlés,8.0,41.1422845912,20.0683841514,2015.0,68.41583333333334,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Agression sexuelle,8.0,41.1422845912,20.0683841514,2015.0,2.1891666666666665,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Attaque grave,8.0,41.1422845912,20.0683841514,2015.0,6.245,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Blanchiment d'argent,8.0,41.1422845912,20.0683841514,2015.0,13.944285714285714,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Corruption,8.0,41.1422845912,20.0683841514,2015.0,37.855714285714285,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Enlèvement,8.0,41.1422845912,20.0683841514,2015.0,0.155,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Exploitation sexuelle,8.0,41.1422845912,20.0683841514,2015.0,4.604285714285715,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Fraude,8.0,41.1422845912,20.0683841514,2015.0,32.247142857142855,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Homicide intentionnel,8.0,41.1422845912,20.0683841514,2015.0,2.3783333333333334,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Participation à un groupe criminel organisé,8.0,41.1422845912,20.0683841514,2015.0,0.8685714285714285,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Pédopornographie,8.0,41.1422845912,20.0683841514,2015.0,0.8849999999999999,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Tentative d'homicide volontaire,8.0,41.1422845912,20.0683841514,2015.0,5.054166666666666,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Viol,8.0,41.1422845912,20.0683841514,2015.0,1.7283333333333333,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Violence sexuelle,8.0,41.1422845912,20.0683841514,2015.0,3.919166666666667,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Vol,8.0,41.1422845912,20.0683841514,2015.0,160.535,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Vol d'un véhicule motorisé ou de pièces de celui-ci,8.0,41.1422845912,20.0683841514,2015.0,11.133333333333333,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Vol par effraction,8.0,41.1422845912,20.0683841514,2015.0,11.33625,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Vol par effraction de résidences privées,8.0,41.1422845912,20.0683841514,2015.0,35.79,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,Vol qualifié,8.0,41.1422845912,20.0683841514,2015.0,5.509166666666666,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Albanie,pots-de-vin,8.0,41.1422845912,20.0683841514,2015.0,10.294285714285715,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Allemagne,Actes contre les systèmes informatiques,276.0,51.1065619193,10.3936466271,2015.0,17.79,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Actes illicites impliquant des drogues ou des précurseurs contrôlés,276.0,51.1065619193,10.3936466271,2015.0,357.754,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Agression sexuelle,276.0,51.1065619193,10.3936466271,2015.0,38.854,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Attaque grave,276.0,51.1065619193,10.3936466271,2015.0,196.08733333333333,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Blanchiment d'argent,276.0,51.1065619193,10.3936466271,2015.0,14.870000000000001,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Corruption,276.0,51.1065619193,10.3936466271,2015.0,5.637142857142857,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Enlèvement,276.0,51.1065619193,10.3936466271,2015.0,5.6706666666666665,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Exploitation sexuelle,276.0,51.1065619193,10.3936466271,2015.0,30.209999999999997,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Fraude,276.0,51.1065619193,10.3936466271,2015.0,1014.9885714285714,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Homicide intentionnel,276.0,51.1065619193,10.3936466271,2015.0,0.8113333333333334,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Participation à un groupe criminel organisé,276.0,51.1065619193,10.3936466271,2015.0,0.7214285714285714,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Pédopornographie,276.0,51.1065619193,10.3936466271,2015.0,20.554,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Tentative d'homicide volontaire,276.0,51.1065619193,10.3936466271,2015.0,2.0386666666666664,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Viol,276.0,51.1065619193,10.3936466271,2015.0,10.366666666666667,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Violence sexuelle,276.0,51.1065619193,10.3936466271,2015.0,49.220666666666666,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Vol,276.0,51.1065619193,10.3936466271,2015.0,1503.026,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Vol d'un véhicule motorisé ou de pièces de celui-ci,276.0,51.1065619193,10.3936466271,2015.0,74.88928571428572,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Vol par effraction,276.0,51.1065619193,10.3936466271,2015.0,457.482,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Vol par effraction de résidences privées,276.0,51.1065619193,10.3936466271,2015.0,141.734,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,Vol qualifié,276.0,51.1065619193,10.3936466271,2015.0,52.019999999999996,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Allemagne,pots-de-vin,276.0,51.1065619193,10.3936466271,2015.0,5.637142857142857,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Angleterre et Pays de Galles,Actes contre les systèmes informatiques,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Actes illicites impliquant des drogues ou des précurseurs contrôlés,826.0,52.3555,-1.1743,2015.0,51.60454545454545,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Agression sexuelle,826.0,52.3555,-1.1743,2015.0,59.68090909090909,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Attaque grave,826.0,52.3555,-1.1743,2015.0,716.5654545454546,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Blanchiment d'argent,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Angleterre et Pays de Galles,Corruption,826.0,52.3555,-1.1743,2015.0,,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
