Country,FIPS,ISO2,ISO3,UN,NAME,lat,lon,Year,Value,Crime Type,Data Type
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2008,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2009,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2010,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2011,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2012,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2013,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2014,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2015,:,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2016,5,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2017,4,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2018,3,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2019,5,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2020,10,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2021,124,Child pornography,Number
Albania,AL,AL,ALB,8,Albania,41.1422845912,20.0683841514,2022,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2008,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2009,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2010,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2011,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2012,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2013,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2014,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2015,:,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2016,685,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2017,740,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2018,1172,Child pornography,Number
Austria,AU,AT,AUT,40,Austria,47.5929026313,14.1401917728,2019,1681,Child pornography,Number
