Country,FIPS,ISO2,ISO3,UN,NAME,lat,lon,Year,Value,Crime Type,Data Type
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2008,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2009,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2010,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2011,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2012,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2013,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2014,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2015,:,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2016,3.65,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2017,4.21,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2018,3.34,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2019,3.35,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2020,3.37,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2021,6.47,Exploitation sexuelle,Per hundred thousand inhabitants
Albanie,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514,2022,7.84,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2008,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2009,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2010,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2011,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2012,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2013,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2014,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2015,:,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2016,9.6,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2017,10.57,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2018,15.39,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2019,20.98,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2020,21.54,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2021,23.68,Exploitation sexuelle,Per hundred thousand inhabitants
Autriche,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728,2022,24.94,Exploitation sexuelle,Per hundred thousand inhabitants
Belgique,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769,2008,:,Exploitation sexuelle,Per hundred thousand inhabitants
