Country,Year,Value
Albania,2008,242
Albania,2009,231
Albania,2010,211
Albania,2011,214
Albania,2012,220
Albania,2013,206
Albania,2014,181
Albania,2015,138
Albania,2016,132
Albania,2017,129
Albania,2018,114
Albania,2019,93
Albania,2020,114
Albania,2021,101
Albania,2022,93
Austria,2008,58
Austria,2009,102
Austria,2010,112
Austria,2011,105
Austria,2012,109
Austria,2013,105
Austria,2014,70
Austria,2015,96
Austria,2016,99
Austria,2017,151
Austria,2018,131
Austria,2019,171
Austria,2020,133
Austria,2021,121
Austria,2022,134
Belgium,2008,682
Belgium,2009,746
Belgium,2010,762
Belgium,2011,858
Belgium,2012,836
Belgium,2013,809
Belgium,2014,849
Belgium,2015,880
Belgium,2016,881
Belgium,2017,971
Belgium,2018,1027
Belgium,2019,1025
Belgium,2020,1018
Belgium,2021,1053
Belgium,2022,1196
Bosnia and Herzegovina,2008,92
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,67
Bosnia and Herzegovina,2011,50
Bosnia and Herzegovina,2012,47
Bosnia and Herzegovina,2013,59
Bosnia and Herzegovina,2014,70
Bosnia and Herzegovina,2015,54
Bosnia and Herzegovina,2016,60
Bosnia and Herzegovina,2017,59
Bosnia and Herzegovina,2018,14
Bosnia and Herzegovina,2019,62
Bosnia and Herzegovina,2020,67
Bosnia and Herzegovina,2021,64
Bosnia and Herzegovina,2022,53
Bulgaria,2008,60
Bulgaria,2009,66
Bulgaria,2010,62
Bulgaria,2011,61
Bulgaria,2012,45
Bulgaria,2013,67
Bulgaria,2014,46
Bulgaria,2015,33
Bulgaria,2016,76
Bulgaria,2017,31
Bulgaria,2018,46
Bulgaria,2019,38
Bulgaria,2020,32
Bulgaria,2021,28
Bulgaria,2022,46
Croatia,2008,:
Croatia,2009,:
Croatia,2010,125
Croatia,2011,123
Croatia,2012,101
Croatia,2013,126
Croatia,2014,113
Croatia,2015,105
Croatia,2016,93
Croatia,2017,125
Croatia,2018,90
Croatia,2019,98
Croatia,2020,108
Croatia,2021,103
Croatia,2022,108
Cyprus,2008,13
Cyprus,2009,19
Cyprus,2010,11
Cyprus,2011,13
Cyprus,2012,12
Cyprus,2013,8
Cyprus,2014,10
Cyprus,2015,11
Cyprus,2016,7
Cyprus,2017,10
Cyprus,2018,8
Cyprus,2019,15
Cyprus,2020,16
Cyprus,2021,13
Cyprus,2022,17
Czechia,2008,89
Czechia,2009,76
Czechia,2010,68
Czechia,2011,90
Czechia,2012,93
Czechia,2013,92
Czechia,2014,79
Czechia,2015,67
Czechia,2016,71
Czechia,2017,45
Czechia,2018,43
Czechia,2019,62
Czechia,2020,68
Czechia,2021,59
Czechia,2022,63
Denmark,2008,197
Denmark,2009,208
Denmark,2010,152
Denmark,2011,148
Denmark,2012,142
Denmark,2013,165
Denmark,2014,148
Denmark,2015,141
Denmark,2016,194
Denmark,2017,212
Denmark,2018,209
Denmark,2019,149
Denmark,2020,151
Denmark,2021,133
Denmark,2022,140
England and Wales,2008,:
England and Wales,2009,:
