Country,Year,Value
Albania,2008,:
Albania,2009,:
Albania,2010,:
Albania,2011,:
Albania,2012,:
Albania,2013,:
Albania,2014,:
Albania,2015,:
Albania,2016,256
Albania,2017,297
Albania,2018,274
Albania,2019,305
Albania,2020,161
Albania,2021,263
Albania,2022,494
Austria,2008,:
Austria,2009,:
Austria,2010,:
Austria,2011,:
Austria,2012,:
Austria,2013,:
Austria,2014,:
Austria,2015,:
Austria,2016,20
Austria,2017,30
Austria,2018,24
Austria,2019,38
Austria,2020,37
Austria,2021,57
Austria,2022,148
Belgium,2008,:
Belgium,2009,:
Belgium,2010,:
Belgium,2011,:
Belgium,2012,:
Belgium,2013,:
Belgium,2014,:
Belgium,2015,:
Belgium,2016,96
Belgium,2017,100
Belgium,2018,97
Belgium,2019,100
Belgium,2020,73
Belgium,2021,90
Belgium,2022,69
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,29
Bosnia and Herzegovina,2017,17
Bosnia and Herzegovina,2018,31
Bosnia and Herzegovina,2019,81
Bosnia and Herzegovina,2020,339
Bosnia and Herzegovina,2021,131
Bosnia and Herzegovina,2022,92
Bulgaria,2008,:
Bulgaria,2009,:
Bulgaria,2010,:
Bulgaria,2011,:
Bulgaria,2012,:
Bulgaria,2013,:
Bulgaria,2014,:
Bulgaria,2015,:
Bulgaria,2016,132
Bulgaria,2017,139
Bulgaria,2018,167
Bulgaria,2019,130
Bulgaria,2020,118
Bulgaria,2021,101
Bulgaria,2022,105
Croatia,2008,:
Croatia,2009,:
Croatia,2010,:
Croatia,2011,:
Croatia,2012,:
Croatia,2013,:
Croatia,2014,:
Croatia,2015,:
Croatia,2016,222
Croatia,2017,193
Croatia,2018,45
Croatia,2019,39
Croatia,2020,61
Croatia,2021,103
Croatia,2022,342
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,:
Cyprus,2012,:
Cyprus,2013,:
Cyprus,2014,:
Cyprus,2015,:
Cyprus,2016,38
Cyprus,2017,30
Cyprus,2018,16
Cyprus,2019,14
Cyprus,2020,11
Cyprus,2021,12
Cyprus,2022,23
Czechia,2008,:
Czechia,2009,:
Czechia,2010,:
Czechia,2011,:
Czechia,2012,:
Czechia,2013,:
Czechia,2014,:
Czechia,2015,:
Czechia,2016,98
Czechia,2017,92
Czechia,2018,281
Czechia,2019,122
Czechia,2020,115
Czechia,2021,95
Czechia,2022,180
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,53
Denmark,2017,27
Denmark,2018,315
Denmark,2019,46
Denmark,2020,13
Denmark,2021,53
Denmark,2022,10
England and Wales,2008,:
England and Wales,2009,:
England and Wales,2010,:
England and Wales,2011,:
England and Wales,2012,:
England and Wales,2013,:
England and Wales,2014,:
England and Wales,2015,:
England and Wales,2016,:
England and Wales,2017,:
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,:
Estonia,2009,:
Estonia,2010,:
Estonia,2011,:
Estonia,2012,:
Estonia,2013,:
Estonia,2014,:
Estonia,2015,:
Estonia,2016,:
Estonia,2017,165
Estonia,2018,177
Estonia,2019,37
Estonia,2020,40
Estonia,2021,41
Estonia,2022,108
Finland,2008,:
Finland,2009,:
Finland,2010,:
Finland,2011,:
Finland,2012,:
