Country,Year,Value
Albania,2008,:
Albania,2009,:
Albania,2010,:
Albania,2011,:
Albania,2012,:
Albania,2013,:
Albania,2014,:
Albania,2015,:
Albania,2016,5
Albania,2017,4
Albania,2018,3
Albania,2019,5
Albania,2020,10
Albania,2021,124
Albania,2022,:
Austria,2008,:
Austria,2009,:
Austria,2010,:
Austria,2011,:
Austria,2012,:
Austria,2013,:
Austria,2014,:
Austria,2015,:
Austria,2016,685
Austria,2017,740
Austria,2018,1172
Austria,2019,1681
Austria,2020,1710
Austria,2021,1930
Austria,2022,:
Belgium,2008,:
Belgium,2009,:
Belgium,2010,:
Belgium,2011,:
Belgium,2012,:
Belgium,2013,:
Belgium,2014,:
Belgium,2015,:
Belgium,2016,1323
Belgium,2017,1729
Belgium,2018,1875
Belgium,2019,2651
Belgium,2020,2120
Belgium,2021,1800
Belgium,2022,:
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,33
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,34
Bosnia and Herzegovina,2022,:
Bulgaria,2008,:
Bulgaria,2009,:
Bulgaria,2010,:
Bulgaria,2011,:
Bulgaria,2012,:
Bulgaria,2013,:
Bulgaria,2014,:
Bulgaria,2015,:
Bulgaria,2016,19
Bulgaria,2017,30
Bulgaria,2018,27
Bulgaria,2019,19
Bulgaria,2020,23
Bulgaria,2021,27
Bulgaria,2022,:
Croatia,2008,:
Croatia,2009,:
Croatia,2010,:
Croatia,2011,:
Croatia,2012,:
Croatia,2013,:
Croatia,2014,:
Croatia,2015,:
Croatia,2016,107
Croatia,2017,140
Croatia,2018,231
Croatia,2019,251
Croatia,2020,320
Croatia,2021,458
Croatia,2022,:
Cyprus,2008,:
Cyprus,2009,:
Cyprus,2010,:
Cyprus,2011,:
Cyprus,2012,:
Cyprus,2013,:
Cyprus,2014,:
Cyprus,2015,:
Cyprus,2016,77
Cyprus,2017,96
Cyprus,2018,122
Cyprus,2019,104
Cyprus,2020,154
Cyprus,2021,166
Cyprus,2022,:
Czechia,2008,:
Czechia,2009,:
Czechia,2010,:
Czechia,2011,:
Czechia,2012,:
Czechia,2013,:
Czechia,2014,:
Czechia,2015,:
Czechia,2016,360
Czechia,2017,489
Czechia,2018,649
Czechia,2019,728
Czechia,2020,666
Czechia,2021,627
Czechia,2022,:
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,239
Denmark,2017,1752
Denmark,2018,1593
Denmark,2019,1505
Denmark,2020,1815
Denmark,2021,2051
Denmark,2022,:
England and Wales,2008,:
England and Wales,2009,:
England and Wales,2010,:
England and Wales,2011,:
England and Wales,2012,:
England and Wales,2013,:
England and Wales,2014,:
England and Wales,2015,:
England and Wales,2016,:
England and Wales,2017,:
England and Wales,2018,:
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,:
Estonia,2009,:
Estonia,2010,:
Estonia,2011,:
Estonia,2012,:
Estonia,2013,:
Estonia,2014,:
Estonia,2015,:
Estonia,2016,118
Estonia,2017,154
Estonia,2018,184
Estonia,2019,175
Estonia,2020,156
Estonia,2021,231
Estonia,2022,:
Finland,2008,:
Finland,2009,:
Finland,2010,:
