Country,Year,Value
Albania,2008,10
Albania,2009,5
Albania,2010,9
Albania,2011,2
Albania,2012,2
Albania,2013,5
Albania,2014,2
Albania,2015,8
Albania,2016,4
Albania,2017,2
Albania,2018,5
Albania,2019,4
Albania,2020,5
Albania,2021,4
Albania,2022,4
Austria,2008,11
Austria,2009,5
Austria,2010,9
Austria,2011,5
Austria,2012,11
Austria,2013,4
Austria,2014,1
Austria,2015,3
Austria,2016,2
Austria,2017,3
Austria,2018,5
Austria,2019,6
Austria,2020,3
Austria,2021,3
Austria,2022,9
Belgium,2008,1013
Belgium,2009,1080
Belgium,2010,1122
Belgium,2011,1194
Belgium,2012,1185
Belgium,2013,1163
Belgium,2014,1151
Belgium,2015,1171
Belgium,2016,1201
Belgium,2017,1170
Belgium,2018,:
Belgium,2019,:
Belgium,2020,:
Belgium,2021,:
Belgium,2022,:
Bosnia and Herzegovina,2008,8
Bosnia and Herzegovina,2009,6
Bosnia and Herzegovina,2010,1
Bosnia and Herzegovina,2011,1
Bosnia and Herzegovina,2012,2
Bosnia and Herzegovina,2013,5
Bosnia and Herzegovina,2014,3
Bosnia and Herzegovina,2015,0
Bosnia and Herzegovina,2016,1
Bosnia and Herzegovina,2017,0
Bosnia and Herzegovina,2018,1
Bosnia and Herzegovina,2019,7
Bosnia and Herzegovina,2020,1
Bosnia and Herzegovina,2021,14
Bosnia and Herzegovina,2022,12
Bulgaria,2008,127
Bulgaria,2009,142
Bulgaria,2010,118
Bulgaria,2011,77
Bulgaria,2012,75
Bulgaria,2013,87
Bulgaria,2014,95
Bulgaria,2015,74
Bulgaria,2016,70
Bulgaria,2017,102
Bulgaria,2018,63
Bulgaria,2019,72
Bulgaria,2020,81
Bulgaria,2021,69
Bulgaria,2022,83
Croatia,2008,16
Croatia,2009,12
Croatia,2010,13
Croatia,2011,6
Croatia,2012,6
Croatia,2013,1
Croatia,2014,1
Croatia,2015,0
Croatia,2016,1
Croatia,2017,0
Croatia,2018,0
Croatia,2019,1
Croatia,2020,1
Croatia,2021,3
Croatia,2022,0
Cyprus,2008,12
Cyprus,2009,26
Cyprus,2010,27
Cyprus,2011,12
Cyprus,2012,5
Cyprus,2013,4
Cyprus,2014,8
Cyprus,2015,0
Cyprus,2016,1
Cyprus,2017,9
Cyprus,2018,4
Cyprus,2019,8
Cyprus,2020,2
Cyprus,2021,3
Cyprus,2022,6
Czechia,2008,15
Czechia,2009,12
Czechia,2010,16
Czechia,2011,11
Czechia,2012,17
Czechia,2013,20
Czechia,2014,15
Czechia,2015,12
Czechia,2016,18
Czechia,2017,17
Czechia,2018,13
Czechia,2019,12
Czechia,2020,11
Czechia,2021,2
Czechia,2022,2
Denmark,2008,:
Denmark,2009,:
Denmark,2010,:
Denmark,2011,:
Denmark,2012,:
Denmark,2013,:
Denmark,2014,:
Denmark,2015,:
Denmark,2016,:
Denmark,2017,:
Denmark,2018,:
Denmark,2019,:
Denmark,2020,:
Denmark,2021,:
Denmark,2022,:
England and Wales,2008,2035
England and Wales,2009,1860
England and Wales,2010,1717
England and Wales,2011,1516
England and Wales,2012,1388
England and Wales,2013,1728
England and Wales,2014,2189
England and Wales,2015,3019
England and Wales,2016,3849
England and Wales,2017,4528
England and Wales,2018,5223
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,2
Estonia,2009,0
Estonia,2010,0
Estonia,2011,3
Estonia,2012,0
Estonia,2013,1
Estonia,2014,0
Estonia,2015,0
Estonia,2016,0
Estonia,2017,0
Estonia,2018,0
Estonia,2019,0
Estonia,2020,0
Estonia,2021,0
Estonia,2022,0
Finland,2008,0
Finland,2009,3
Finland,2010,1
Finland,2011,3
Finland,2012,1
Finland,2013,1
Finland,2014,1
Finland,2015,1
Finland,2016,3
Finland,2017,2
Finland,2018,4
Finland,2019,1
Finland,2020,3
Finland,2021,2
Finland,2022,2
France,2008,2074
France,2009,2085
France,2010,2092
France,2011,2234
France,2012,2117
France,2013,2266
France,2014,2956
France,2015,3818
France,2016,3818
France,2017,:
France,2018,:
France,2019,:
France,2020,:
France,2021,:
France,2022,:
Germany,2008,1857
Germany,2009,5126
Germany,2010,4897
Germany,2011,4922
Germany,2012,5183
Germany,2013,4929
Germany,2014,4988
Germany,2015,4763
Germany,2016,4756
Germany,2017,4625
Germany,2018,4563
Germany,2019,4514
Germany,2020,4565
Germany,2021,5062
Germany,2022,4891
Greece,2008,30
Greece,2009,16
Greece,2010,173
Greece,2011,158
Greece,2012,139
Greece,2013,95
Greece,2014,58
Greece,2015,89
Greece,2016,61
Greece,2017,78
Greece,2018,74
Greece,2019,72
Greece,2020,73
Greece,2021,62
Greece,2022,98
Hungary,2008,11
Hungary,2009,14
Hungary,2010,18
Hungary,2011,12
Hungary,2012,9
Hungary,2013,7
Hungary,2014,3
Hungary,2015,11
Hungary,2016,5
Hungary,2017,3
Hungary,2018,3
Hungary,2019,5
Hungary,2020,11
Hungary,2021,4
