Country,Year,Value
Albania,2008,1.23
Albania,2009,1.07
Albania,2010,:
Albania,2011,0.78
Albania,2012,:
Albania,2013,:
Albania,2014,1.41
Albania,2015,2.46
Albania,2016,1.53
Albania,2017,1.49
Albania,2018,1.46
Albania,2019,2.69
Albania,2020,2.28
Albania,2021,2.3
Albania,2022,2.04
Austria,2008,8.34
Austria,2009,9.35
Austria,2010,14.62
Austria,2011,15.69
Austria,2012,14.94
Austria,2013,15.32
Austria,2014,13.68
Austria,2015,13.18
Austria,2016,14.17
Austria,2017,17.01
Austria,2018,18.88
Austria,2019,18.92
Austria,2020,18.92
Austria,2021,20.61
Austria,2022,22.89
Belgium,2008,30.29
Belgium,2009,29.31
Belgium,2010,30.52
Belgium,2011,30.88
Belgium,2012,30.69
Belgium,2013,29.97
Belgium,2014,28.51
Belgium,2015,28.75
Belgium,2016,30.44
Belgium,2017,32.83
Belgium,2018,33.93
Belgium,2019,36.85
Belgium,2020,34.1
Belgium,2021,38.44
Belgium,2022,37.03
Bosnia and Herzegovina,2008,0.91
Bosnia and Herzegovina,2009,0.75
Bosnia and Herzegovina,2010,1.2
Bosnia and Herzegovina,2011,0.91
Bosnia and Herzegovina,2012,1.07
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,3.48
Bulgaria,2009,3.29
Bulgaria,2010,2.84
Bulgaria,2011,2.13
Bulgaria,2012,2.55
Bulgaria,2013,2.25
Bulgaria,2014,2.04
Bulgaria,2015,1.65
Bulgaria,2016,1.78
Bulgaria,2017,2
Bulgaria,2018,1.6
Bulgaria,2019,1.87
Bulgaria,2020,1.57
Bulgaria,2021,1.16
Bulgaria,2022,1.4
Croatia,2008,4.36
Croatia,2009,2.99
Croatia,2010,3.28
Croatia,2011,2.84
Croatia,2012,2.95
Croatia,2013,6.43
Croatia,2014,7.89
Croatia,2015,6.11
Croatia,2016,7.59
Croatia,2017,5.92
Croatia,2018,7.23
Croatia,2019,11.58
Croatia,2020,7.44
Croatia,2021,11.17
Croatia,2022,9.24
Cyprus,2008,4.38
Cyprus,2009,3.39
Cyprus,2010,4.39
Cyprus,2011,5.36
Cyprus,2012,3.6
Cyprus,2013,2.66
Cyprus,2014,1.98
Cyprus,2015,2.48
Cyprus,2016,2.59
Cyprus,2017,2.22
Cyprus,2018,3.24
Cyprus,2019,1.83
Cyprus,2020,3.15
Cyprus,2021,6.14
Cyprus,2022,6.3
Czechia,2008,5.11
Czechia,2009,4.6
Czechia,2010,5.6
Czechia,2011,6.44
Czechia,2012,6.37
Czechia,2013,5.6
Czechia,2014,6.36
Czechia,2015,5.67
Czechia,2016,6.15
Czechia,2017,5.65
Czechia,2018,6.14
Czechia,2019,6.41
Czechia,2020,5.98
Czechia,2021,14.21
Czechia,2022,16.29
Denmark,2008,17.81
Denmark,2009,15.93
Denmark,2010,17.24
Denmark,2011,15.34
Denmark,2012,15.57
Denmark,2013,14.98
Denmark,2014,14.87
Denmark,2015,18.57
Denmark,2016,29.42
Denmark,2017,31.36
Denmark,2018,38.35
Denmark,2019,35.33
Denmark,2020,37.35
Denmark,2021,45.51
Denmark,2022,48.2
England and Wales,2008,23.98
England and Wales,2009,27.39
England and Wales,2010,28.65
England and Wales,2011,28.67
England and Wales,2012,29.05
England and Wales,2013,36.56
England and Wales,2014,51.4
England and Wales,2015,62.28
England and Wales,2016,71.59
England and Wales,2017,92.29
England and Wales,2018,99.48
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,11.95
Estonia,2009,9.28
Estonia,2010,6.08
Estonia,2011,6.84
Estonia,2012,10.79
Estonia,2013,10.23
Estonia,2014,11.17
Estonia,2015,12.24
Estonia,2016,11.55
Estonia,2017,11.4
Estonia,2018,16.07
