Country,Year,Value
Albania,2008,363
Albania,2009,379
Albania,2010,178
Albania,2011,169
Albania,2012,156
Albania,2013,163
Albania,2014,132
Albania,2015,169
Albania,2016,118
Albania,2017,125
Albania,2018,135
Albania,2019,158
Albania,2020,152
Albania,2021,163
Albania,2022,153
Austria,2008,3945
Austria,2009,4023
Austria,2010,3606
Austria,2011,3897
Austria,2012,4030
Austria,2013,3327
Austria,2014,3230
Austria,2015,3461
Austria,2016,3793
Austria,2017,3625
Austria,2018,3711
Austria,2019,3835
Austria,2020,3549
Austria,2021,3610
Austria,2022,4324
Belgium,2008,76314
Belgium,2009,77665
Belgium,2010,77758
Belgium,2011,78778
Belgium,2012,72312
Belgium,2013,69746
Belgium,2014,70411
Belgium,2015,62381
Belgium,2016,62985
Belgium,2017,62763
Belgium,2018,64507
Belgium,2019,65258
Belgium,2020,56107
Belgium,2021,59680
Belgium,2022,65083
Bosnia and Herzegovina,2008,1474
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,505
Bosnia and Herzegovina,2011,652
Bosnia and Herzegovina,2012,618
Bosnia and Herzegovina,2013,577
Bosnia and Herzegovina,2014,592
Bosnia and Herzegovina,2015,992
Bosnia and Herzegovina,2016,1009
Bosnia and Herzegovina,2017,752
Bosnia and Herzegovina,2018,909
Bosnia and Herzegovina,2019,725
Bosnia and Herzegovina,2020,640
Bosnia and Herzegovina,2021,755
Bosnia and Herzegovina,2022,505
Bulgaria,2008,3216
Bulgaria,2009,3122
Bulgaria,2010,3038
Bulgaria,2011,2462
Bulgaria,2012,2410
Bulgaria,2013,2470
Bulgaria,2014,2533
Bulgaria,2015,2520
Bulgaria,2016,2470
Bulgaria,2017,2811
Bulgaria,2018,2518
Bulgaria,2019,2768
Bulgaria,2020,2657
Bulgaria,2021,2758
Bulgaria,2022,3131
Croatia,2008,1128
Croatia,2009,1059
Croatia,2010,986
Croatia,2011,873
Croatia,2012,903
Croatia,2013,823
Croatia,2014,766
Croatia,2015,804
Croatia,2016,790
Croatia,2017,798
Croatia,2018,733
Croatia,2019,736
Croatia,2020,743
Croatia,2021,727
Croatia,2022,778
Cyprus,2008,167
Cyprus,2009,219
Cyprus,2010,173
Cyprus,2011,164
Cyprus,2012,148
Cyprus,2013,132
Cyprus,2014,134
Cyprus,2015,143
Cyprus,2016,145
Cyprus,2017,144
Cyprus,2018,132
Cyprus,2019,176
Cyprus,2020,136
Cyprus,2021,179
Cyprus,2022,177
Czechia,2008,5397
Czechia,2009,4756
Czechia,2010,4786
Czechia,2011,5264
Czechia,2012,5240
Czechia,2013,5378
Czechia,2014,5199
Czechia,2015,5229
Czechia,2016,5050
Czechia,2017,4767
Czechia,2018,4967
Czechia,2019,4684
Czechia,2020,3892
Czechia,2021,3701
Czechia,2022,4171
Denmark,2008,1663
Denmark,2009,1603
Denmark,2010,1753
Denmark,2011,1696
Denmark,2012,1657
Denmark,2013,1503
Denmark,2014,1533
Denmark,2015,1460
Denmark,2016,1733
Denmark,2017,1904
Denmark,2018,1857
Denmark,2019,1968
Denmark,2020,1871
Denmark,2021,1884
Denmark,2022,2158
England and Wales,2008,419119
England and Wales,2009,399713
England and Wales,2010,366878
England and Wales,2011,336867
England and Wales,2012,310953
England and Wales,2013,321535
England and Wales,2014,373464
England and Wales,2015,430583
England and Wales,2016,466722
England and Wales,2017,512976
England and Wales,2018,547060
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,140
Estonia,2009,106
Estonia,2010,103
Estonia,2011,104
Estonia,2012,99
Estonia,2013,99
Estonia,2014,77
Estonia,2015,98
Estonia,2016,93
Estonia,2017,76
Estonia,2018,90
Estonia,2019,78
Estonia,2020,77
Estonia,2021,74
Estonia,2022,58
Finland,2008,2228
Finland,2009,2083
Finland,2010,1974
Finland,2011,2035
Finland,2012,1856
Finland,2013,1791
Finland,2014,1645
Finland,2015,1563
Finland,2016,1592
Finland,2017,1581
Finland,2018,1609
Finland,2019,1584
Finland,2020,1754
Finland,2021,1663
Finland,2022,1726
France,2008,187937
France,2009,220126
France,2010,231909
France,2011,231307
France,2012,231733
France,2013,233304
France,2014,237916
France,2015,242185
France,2016,266911
France,2017,278097
France,2018,300383
France,2019,322731
France,2020,317150
France,2021,353899
France,2022,391833
Germany,2008,518499
Germany,2009,149301
Germany,2010,142903
Germany,2011,139091
Germany,2012,136077
Germany,2013,127869
Germany,2014,125752
Germany,2015,127395
Germany,2016,140033
Germany,2017,137058
Germany,2018,136727
Germany,2019,133084
Germany,2020,130453
Germany,2021,122341
Germany,2022,144663
Greece,2008,430
Greece,2009,477
Greece,2010,1101
Greece,2011,1425
Greece,2012,1692
Greece,2013,1610
Greece,2014,1459
Greece,2015,1624
Greece,2016,1515
Greece,2017,1510
Greece,2018,1587
Greece,2019,1605
Greece,2020,1285
Greece,2021,1186
Greece,2022,1333
