Country,Year,Value
Albania,2008,0.57
Albania,2009,0.91
Albania,2010,:
Albania,2011,0.78
Albania,2012,:
Albania,2013,:
Albania,2014,1.93
Albania,2015,2.7
Albania,2016,2.64
Albania,2017,2.43
Albania,2018,2.33
Albania,2019,2.69
Albania,2020,2.81
Albania,2021,2.47
Albania,2022,4.01
Austria,2008,42.03
Austria,2009,36.68
Austria,2010,27.24
Austria,2011,31.56
Austria,2012,33.11
Austria,2013,25.47
Austria,2014,24.91
Austria,2015,23.43
Austria,2016,32.46
Austria,2017,27.55
Austria,2018,27.48
Austria,2019,26.64
Austria,2020,23.99
Austria,2021,24.73
Austria,2022,28.6
Belgium,2008,70.76
Belgium,2009,69.35
Belgium,2010,70.25
Belgium,2011,71.84
Belgium,2012,66.08
Belgium,2013,34.16
Belgium,2014,33.17
Belgium,2015,32.54
Belgium,2016,38.8
Belgium,2017,43.23
Belgium,2018,42.72
Belgium,2019,47.29
Belgium,2020,47.46
Belgium,2021,52.66
Belgium,2022,55.01
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,6.48
Bulgaria,2009,6.43
Bulgaria,2010,6.53
Bulgaria,2011,6.68
Bulgaria,2012,6.81
Bulgaria,2013,6.42
Bulgaria,2014,6.38
Bulgaria,2015,6.72
Bulgaria,2016,:
Bulgaria,2017,:
Bulgaria,2018,6.55
Bulgaria,2019,6.77
Bulgaria,2020,6.6
Bulgaria,2021,6.75
Bulgaria,2022,6.89
Croatia,2008,13.38
Croatia,2009,12.41
Croatia,2010,5.95
Croatia,2011,5.97
Croatia,2012,5.07
Croatia,2013,7.09
Croatia,2014,6.33
Croatia,2015,8.21
Croatia,2016,8.54
Croatia,2017,5.54
Croatia,2018,5.94
Croatia,2019,8.61
Croatia,2020,6.53
Croatia,2021,9.74
Croatia,2022,8.62
Cyprus,2008,8.12
Cyprus,2009,6.4
Cyprus,2010,5.25
Cyprus,2011,0.24
Cyprus,2012,0.23
Cyprus,2013,0.12
Cyprus,2014,0.23
Cyprus,2015,0
Cyprus,2016,0.24
Cyprus,2017,0.12
Cyprus,2018,0.12
Cyprus,2019,0.11
Cyprus,2020,0.23
Cyprus,2021,0.89
Cyprus,2022,0
Czechia,2008,11.13
Czechia,2009,11.99
Czechia,2010,7.18
Czechia,2011,7.45
Czechia,2012,7.05
Czechia,2013,7.86
Czechia,2014,7.23
Czechia,2015,7.79
Czechia,2016,6.91
Czechia,2017,7.59
Czechia,2018,7.4
Czechia,2019,8.12
Czechia,2020,7.4
Czechia,2021,0.78
Czechia,2022,0.86
Denmark,2008,15.29
Denmark,2009,14.39
Denmark,2010,19.08
Denmark,2011,18.22
Denmark,2012,18.55
Denmark,2013,17.92
Denmark,2014,27.21
Denmark,2015,27.56
Denmark,2016,37.04
Denmark,2017,52.05
Denmark,2018,57.48
Denmark,2019,48.98
Denmark,2020,54.87
Denmark,2021,63.1
Denmark,2022,58.99
England and Wales,2008,40.67
England and Wales,2009,40.39
England and Wales,2010,41.87
England and Wales,2011,39.8
England and Wales,2012,40.01
England and Wales,2013,46.01
England and Wales,2014,61.07
England and Wales,2015,71.82
England and Wales,2016,79.39
England and Wales,2017,95.29
England and Wales,2018,100.17
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,8.07
Estonia,2009,9.73
Estonia,2010,7.28
Estonia,2011,6.69
Estonia,2012,7.92
Estonia,2013,7.95
Estonia,2014,3.95
Estonia,2015,9.35
Estonia,2016,9.04
Estonia,2017,8.28
Estonia,2018,6.37
Estonia,2019,11.47
Estonia,2020,11.89
Estonia,2021,10.07
Estonia,2022,10.81
Finland,2008,33.88
Finland,2009,27.02
Finland,2010,29.26
Finland,2011,39.44
Finland,2012,41.19
Finland,2013,37.09
Finland,2014,33.31
Finland,2015,31.6
Finland,2016,36.96
Finland,2017,32.87
Finland,2018,38.89
Finland,2019,45.27
Finland,2020,46.04
Finland,2021,54.99
Finland,2022,59.21
France,2008,21.49
France,2009,20.84
France,2010,19.88
France,2011,20.72
France,2012,24.35
France,2013,25.32
France,2014,28.51
France,2015,30.78
France,2016,31.7
France,2017,35.05
France,2018,42.89
France,2019,48.16
France,2020,47.95
France,2021,63.08
France,2022,69.95
Germany,2008,60.2
Germany,2009,50.94
Germany,2010,35.26
Germany,2011,35.92
Germany,2012,35.16
Germany,2013,34.68
Germany,2014,34.19
Germany,2015,33.55
Germany,2016,35.59
Germany,2017,32.12
Germany,2018,38.11
Germany,2019,37.52
Germany,2020,37.22
Germany,2021,37.74
Germany,2022,44.61
Greece,2008,4.02
Greece,2009,6.41
Greece,2010,1.68
Greece,2011,1.61
Greece,2012,1.83
Greece,2013,1.7
Greece,2014,1.75
Greece,2015,2.39
Greece,2016,2.44
Greece,2017,2.08
Greece,2018,1.69
Greece,2019,0.65
Greece,2020,0.11
Greece,2021,0.11
Greece,2022,0.18
Hungary,2008,2.49
Hungary,2009,4.27
Hungary,2010,4.3
Hungary,2011,4.34
Hungary,2012,5.05
Hungary,2013,4.35
Hungary,2014,2.3
Hungary,2015,2.45
Hungary,2016,:
Hungary,2017,:
Hungary,2018,:
Hungary,2019,:
Hungary,2020,:
Hungary,2021,:
Hungary,2022,:
Iceland,2008,:
Iceland,2009,:
Iceland,2010,:
Iceland,2011,:
Iceland,2012,:
Iceland,2013,17.4
Iceland,2014,12.59
Iceland,2015,13.67
Iceland,2016,13.53
Iceland,2017,20.39
Iceland,2018,11.48
Iceland,2019,19.89
Iceland,2020,13.18
Iceland,2021,15.46
Iceland,2022,21.79
Ireland,2008,19.49
Ireland,2009,23.93
Ireland,2010,36.59
Ireland,2011,29.77
Ireland,2012,30.06
Ireland,2013,30.21
Ireland,2014,29.84
Ireland,2015,30.02
Ireland,2016,32.44
Ireland,2017,35.37
Ireland,2018,36.77
Ireland,2019,36.56
Ireland,2020,31.6
Ireland,2021,37.55
Ireland,2022,40.97
Italy,2008,8.34
Italy,2009,8.41
Italy,2010,8.13
Italy,2011,7.78
Italy,2012,7.89
Italy,2013,7.52
Italy,2014,7
Italy,2015,6.58
Italy,2016,:
Italy,2017,:
Italy,2018,:
Italy,2019,:
Italy,2020,:
Italy,2021,:
Italy,2022,:
Kosovo*,2008,5.16
Kosovo*,2009,4.26
Kosovo*,2010,4.03
Kosovo*,2011,5.63
Kosovo*,2012,:
Kosovo*,2013,:
Kosovo*,2014,:
Kosovo*,2015,:
Kosovo*,2016,3.16
Kosovo*,2017,2.8
Kosovo*,2018,2.56
Kosovo*,2019,3.4
Kosovo*,2020,3.14
Kosovo*,2021,:
Kosovo*,2022,:
Latvia,2008,:
Latvia,2009,:
Latvia,2010,:
Latvia,2011,:
Latvia,2012,:
Latvia,2013,15.02
Latvia,2014,18.44
Latvia,2015,12.24
Latvia,2016,4.22
Latvia,2017,5.74
Latvia,2018,6.88
Latvia,2019,7.08
Latvia,2020,6.03
Latvia,2021,9.14
Latvia,2022,9.01
Liechtenstein,2008,:
Liechtenstein,2009,:
Liechtenstein,2010,:
Liechtenstein,2011,:
Liechtenstein,2012,:
Liechtenstein,2013,105.87
Liechtenstein,2014,37.71
Liechtenstein,2015,42.82
Liechtenstein,2016,18.61
Liechtenstein,2017,:
Liechtenstein,2018,:
Liechtenstein,2019,:
Liechtenstein,2020,:
Liechtenstein,2021,:
Liechtenstein,2022,:
Lithuania,2008,6.35
Lithuania,2009,6.69
Lithuania,2010,9.74
Lithuania,2011,11.07
Lithuania,2012,8.76
Lithuania,2013,4.11
Lithuania,2014,5.4
Lithuania,2015,3.7
Lithuania,2016,3.39
Lithuania,2017,3.58
Lithuania,2018,3.67
Lithuania,2019,3.44
Lithuania,2020,1.93
Lithuania,2021,2.83
Lithuania,2022,2.64
Luxembourg,2008,:
Luxembourg,2009,61.6
Luxembourg,2010,51.79
Luxembourg,2011,55.49
Luxembourg,2012,61.35
Luxembourg,2013,58.84
Luxembourg,2014,65.86
Luxembourg,2015,51.16
Luxembourg,2016,:
Luxembourg,2017,:
Luxembourg,2018,:
Luxembourg,2019,:
Luxembourg,2020,:
Luxembourg,2021,:
Luxembourg,2022,:
Malta,2008,14.96
Malta,2009,17.03
Malta,2010,19.32
Malta,2011,12.29
Malta,2012,16.53
Malta,2013,18.75
Malta,2014,15.52
Malta,2015,18.87
Malta,2016,13.54
Malta,2017,12.82
Malta,2018,15.77
Malta,2019,17.83
Malta,2020,13.99
Malta,2021,20.54
Malta,2022,19.58
Montenegro,2008,3.74
Montenegro,2009,6.16
Montenegro,2010,6.3
Montenegro,2011,3.39
Montenegro,2012,3.39
Montenegro,2013,3.06
Montenegro,2014,4.18
Montenegro,2015,3.38
Montenegro,2016,2.57
Montenegro,2017,1.12
Montenegro,2018,2.09
Montenegro,2019,4.5
Montenegro,2020,2.25
Montenegro,2021,3.87
Montenegro,2022,3.24
Netherlands,2008,52.12
Netherlands,2009,50.5
Netherlands,2010,14.96
Netherlands,2011,13.06
Netherlands,2012,12.37
Netherlands,2013,11.62
Netherlands,2014,10.78
Netherlands,2015,10.12
Netherlands,2016,13.05
Netherlands,2017,12.88
Netherlands,2018,13.82
Netherlands,2019,12.99
Netherlands,2020,11.23
Netherlands,2021,12.96
Netherlands,2022,16.77
North Macedonia,2008,:
North Macedonia,2009,:
North Macedonia,2010,:
North Macedonia,2011,:
North Macedonia,2012,:
North Macedonia,2013,5.48
North Macedonia,2014,:
North Macedonia,2015,:
North Macedonia,2016,:
North Macedonia,2017,:
North Macedonia,2018,:
North Macedonia,2019,:
North Macedonia,2020,:
North Macedonia,2021,:
North Macedonia,2022,:
Northern Ireland (UK) (NUTS 2021),2008,79.59
Northern Ireland (UK) (NUTS 2021),2009,75.41
Northern Ireland (UK) (NUTS 2021),2010,76.15
Northern Ireland (UK) (NUTS 2021),2011,71.4
Northern Ireland (UK) (NUTS 2021),2012,74.55
Northern Ireland (UK) (NUTS 2021),2013,54.03
Northern Ireland (UK) (NUTS 2021),2014,62.86
Northern Ireland (UK) (NUTS 2021),2015,70.52
Northern Ireland (UK) (NUTS 2021),2016,73.5
Northern Ireland (UK) (NUTS 2021),2017,75.8
Northern Ireland (UK) (NUTS 2021),2018,77.99
Northern Ireland (UK) (NUTS 2021),2019,:
Northern Ireland (UK) (NUTS 2021),2020,:
Northern Ireland (UK) (NUTS 2021),2021,:
Northern Ireland (UK) (NUTS 2021),2022,:
Norway,2008,31.81
Norway,2009,30.1
Norway,2010,32.23
Norway,2011,33.79
Norway,2012,31.78
Norway,2013,32.29
Norway,2014,35.38
Norway,2015,40.99
Norway,2016,56.13
Norway,2017,55.09
Norway,2018,51.63
Norway,2019,46.75
Norway,2020,44.51
Norway,2021,51.92
Norway,2022,46.28
Poland,2008,:
Poland,2009,:
Poland,2010,:
Poland,2011,:
Poland,2012,:
Poland,2013,1.14
Poland,2014,1.01
Poland,2015,1.11
Poland,2016,1.35
Poland,2017,1.2
Poland,2018,1.1
Poland,2019,1.52
Poland,2020,0.95
Poland,2021,0.93
Poland,2022,0.95
Portugal,2008,18.35
Portugal,2009,20.63
Portugal,2010,16.85
Portugal,2011,17.1
Portugal,2012,16.69
Portugal,2013,17.08
Portugal,2014,18.77
Portugal,2015,19.95
Portugal,2016,20.67
Portugal,2017,20.66
Portugal,2018,19.84
Portugal,2019,22.09
Portugal,2020,20.58
Portugal,2021,22.55
Portugal,2022,24.2
Romania,2008,2.67
Romania,2009,2.93
