Country,Year,Value
Albania,2008,57
Albania,2009,63
Albania,2010,60
Albania,2011,44
Albania,2012,47
Albania,2013,87
Albania,2014,97
Albania,2015,149
Albania,2016,120
Albania,2017,113
Albania,2018,109
Albania,2019,154
Albania,2020,145
Albania,2021,135
Albania,2022,169
Austria,2008,4185
Austria,2009,3836
Austria,2010,3496
Austria,2011,3957
Austria,2012,4040
Austria,2013,3780
Austria,2014,3564
Austria,2015,3479
Austria,2016,4391
Austria,2017,4253
Austria,2018,4425
Austria,2019,4509
Austria,2020,4141
Austria,2021,4354
Austria,2022,4968
Belgium,2008,10779
Belgium,2009,10609
Belgium,2010,10923
Belgium,2011,11300
Belgium,2012,10736
Belgium,2013,11399
Belgium,2014,6897
Belgium,2015,6888
Belgium,2016,7832
Belgium,2017,8634
Belgium,2018,8737
Belgium,2019,9638
Belgium,2020,9398
Belgium,2021,10527
Belgium,2022,10693
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,137
Bosnia and Herzegovina,2014,134
Bosnia and Herzegovina,2015,164
Bosnia and Herzegovina,2016,143
Bosnia and Herzegovina,2017,158
Bosnia and Herzegovina,2018,87
Bosnia and Herzegovina,2019,186
Bosnia and Herzegovina,2020,194
Bosnia and Herzegovina,2021,194
Bosnia and Herzegovina,2022,148
Bulgaria,2008,749
Bulgaria,2009,726
Bulgaria,2010,696
Bulgaria,2011,649
Bulgaria,2012,686
Bulgaria,2013,632
Bulgaria,2014,610
Bulgaria,2015,603
Bulgaria,2016,554
Bulgaria,2017,653
Bulgaria,2018,575
Bulgaria,2019,605
Bulgaria,2020,568
Bulgaria,2021,547
Bulgaria,2022,567
Croatia,2008,765
Croatia,2009,664
Croatia,2010,397
Croatia,2011,378
Croatia,2012,343
Croatia,2013,576
Croatia,2014,604
Croatia,2015,605
Croatia,2016,717
Croatia,2017,495
Croatia,2018,589
Croatia,2019,858
Croatia,2020,596
Croatia,2021,891
Croatia,2022,718
Cyprus,2008,97
Cyprus,2009,78
Cyprus,2010,79
Cyprus,2011,47
Cyprus,2012,33
Cyprus,2013,24
Cyprus,2014,19
Cyprus,2015,21
Cyprus,2016,24
Cyprus,2017,20
Cyprus,2018,29
Cyprus,2019,17
Cyprus,2020,30
Cyprus,2021,63
Cyprus,2022,57
Czechia,2008,1680
Czechia,2009,1730
Czechia,2010,1337
Czechia,2011,1456
Czechia,2012,1410
Czechia,2013,1417
Czechia,2014,1432
Czechia,2015,1422
Czechia,2016,1393
Czechia,2017,1414
Czechia,2018,1448
Czechia,2019,1560
Czechia,2020,1453
Czechia,2021,1593
Czechia,2022,1822
Denmark,2008,1812
Denmark,2009,1671
Denmark,2010,2010
Denmark,2011,1866
Denmark,2012,1904
Denmark,2013,1843
Denmark,2014,2368
Denmark,2015,2611
Denmark,2016,3793
Denmark,2017,4795
Denmark,2018,5540
Denmark,2019,4895
Denmark,2020,5370
Denmark,2021,6343
Denmark,2022,6296
England and Wales,2008,35310
England and Wales,2009,37307
England and Wales,2010,39114
England and Wales,2011,38298
England and Wales,2012,38930
England and Wales,2013,46866
England and Wales,2014,78787
England and Wales,2015,106536
England and Wales,2016,122190
England and Wales,2017,151120
England and Wales,2018,162030
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,268
Estonia,2009,254
Estonia,2010,178
Estonia,2011,180
Estonia,2012,248
Estonia,2013,240
Estonia,2014,199
Estonia,2015,284
Estonia,2016,271
Estonia,2017,259
Estonia,2018,296
Estonia,2019,355
Estonia,2020,310
Estonia,2021,393
Estonia,2022,363
Finland,2008,2711
Finland,2009,2099
Finland,2010,2384
Finland,2011,3159
Finland,2012,3234
Finland,2013,2988
Finland,2014,2825
Finland,2015,2772
Finland,2016,3188
Finland,2017,3054
Finland,2018,3537
Finland,2019,4009
Finland,2020,4062
Finland,2021,5016
Finland,2022,5108
France,2008,24031
France,2009,23253
France,2010,22963
France,2011,23871
France,2012,26783
France,2013,27778
France,2014,30959
France,2015,33283
France,2016,35464
France,2017,39690
France,2018,47736
France,2019,55223
France,2020,57828
France,2021,76594
France,2022,85571
Germany,2008,56784
Germany,2009,49084
Germany,2010,36566
Germany,2011,36354
Germany,2012,36277
