Country,Year,Value
Albania,2008,1.8
Albania,2009,1.98
Albania,2010,:
Albania,2011,1.55
Albania,2012,:
Albania,2013,:
Albania,2014,3.35
Albania,2015,5.16
Albania,2016,4.17
Albania,2017,3.93
Albania,2018,3.8
Albania,2019,5.38
Albania,2020,5.09
Albania,2021,4.77
Albania,2022,6.05
Austria,2008,50.37
Austria,2009,46.02
Austria,2010,41.86
Austria,2011,47.25
Austria,2012,48.05
Austria,2013,44.72
Austria,2014,41.9
Austria,2015,40.57
Austria,2016,50.53
Austria,2017,48.48
Austria,2018,50.16
Austria,2019,50.9
Austria,2020,46.52
Austria,2021,48.74
Austria,2022,55.33
Belgium,2008,101.05
Belgium,2009,98.66
Belgium,2010,100.77
Belgium,2011,102.72
Belgium,2012,96.77
Belgium,2013,102.13
Belgium,2014,61.69
Belgium,2015,61.3
Belgium,2016,69.24
Belgium,2017,76.06
Belgium,2018,76.65
Belgium,2019,84.13
Belgium,2020,81.56
Belgium,2021,91.11
Belgium,2022,92.04
Bosnia and Herzegovina,2008,:
Bosnia and Herzegovina,2009,:
Bosnia and Herzegovina,2010,:
Bosnia and Herzegovina,2011,:
Bosnia and Herzegovina,2012,:
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,9.96
Bulgaria,2009,9.72
Bulgaria,2010,9.38
Bulgaria,2011,8.81
Bulgaria,2012,9.36
Bulgaria,2013,8.68
Bulgaria,2014,8.42
Bulgaria,2015,8.37
Bulgaria,2016,7.74
Bulgaria,2017,9.19
Bulgaria,2018,8.16
Bulgaria,2019,8.64
Bulgaria,2020,8.17
Bulgaria,2021,7.91
Bulgaria,2022,8.29
Croatia,2008,17.74
Croatia,2009,15.41
Croatia,2010,9.23
Croatia,2011,8.81
Croatia,2012,8.02
Croatia,2013,13.51
Croatia,2014,14.22
Croatia,2015,14.32
Croatia,2016,17.11
Croatia,2017,11.92
Croatia,2018,14.35
Croatia,2019,21.05
Croatia,2020,14.69
Croatia,2021,22.07
Croatia,2022,18.59
Cyprus,2008,12.49
Cyprus,2009,9.79
Cyprus,2010,9.64
Cyprus,2011,5.6
Cyprus,2012,3.83
Cyprus,2013,2.77
Cyprus,2014,2.21
Cyprus,2015,2.48
Cyprus,2016,2.83
Cyprus,2017,2.34
Cyprus,2018,3.36
Cyprus,2019,1.94
Cyprus,2020,3.38
Cyprus,2021,7.03
Cyprus,2022,6.3
Czechia,2008,16.24
Czechia,2009,16.59
Czechia,2010,12.78
Czechia,2011,13.88
Czechia,2012,13.42
Czechia,2013,13.47
Czechia,2014,13.62
Czechia,2015,13.49
Czechia,2016,13.2
Czechia,2017,13.37
Czechia,2018,13.65
Czechia,2019,14.65
Czechia,2020,13.59
Czechia,2021,14.89
Czechia,2022,17.32
Denmark,2008,33.09
Denmark,2009,30.32
Denmark,2010,36.32
Denmark,2011,33.56
Denmark,2012,34.12
Denmark,2013,32.9
Denmark,2014,42.08
Denmark,2015,46.13
Denmark,2016,66.46
Denmark,2017,83.41
Denmark,2018,95.83
Denmark,2019,84.31
Denmark,2020,92.22
Denmark,2021,108.61
Denmark,2022,107.19
England and Wales,2008,64.65
England and Wales,2009,67.78
England and Wales,2010,70.52
England and Wales,2011,68.47
England and Wales,2012,69.06
England and Wales,2013,82.57
England and Wales,2014,137.79
England and Wales,2015,184.81
England and Wales,2016,210.19
England and Wales,2017,258.05
England and Wales,2018,274.81
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
