Country,Year,Value
Albania,2008,3596
Albania,2009,3577.0
Albania,2010,3978.0
Albania,2011,4621
Albania,2012,5344.0
Albania,2013,5255
Albania,2014,7961
Albania,2015,7012
Albania,2016,5641
Albania,2017,5096
Albania,2018,5414
Albania,2019,4833
Albania,2020,3162
Albania,2021,3342
Albania,2022,2458
Austria,2008,174008
Austria,2009,170683.0
Austria,2010,150728.0
Austria,2011,144326
Austria,2012,146520.0
Austria,2013,154002
Austria,2014,148263
Austria,2015,140254
Austria,2016,143531
Austria,2017,131717
Austria,2018,118802
Austria,2019,115423
Austria,2020,84734
Austria,2021,73213
Austria,2022,97139
Belgium,2008,245682
Belgium,2009,249627.0
Belgium,2010,228355.0
Belgium,2011,242399
Belgium,2012,237921.0
Belgium,2013,224109
Belgium,2014,208443
Belgium,2015,246853
Belgium,2016,232504
Belgium,2017,223563
Belgium,2018,222049
Belgium,2019,227402
Belgium,2020,157085
Belgium,2021,166968
Belgium,2022,195873
Bosnia and Herzegovina,2008,8180
Bosnia and Herzegovina,2009,6740.0
Bosnia and Herzegovina,2010,11362.0
Bosnia and Herzegovina,2011,6737
Bosnia and Herzegovina,2012,6675.0
Bosnia and Herzegovina,2013,6477
Bosnia and Herzegovina,2014,5931
Bosnia and Herzegovina,2015,4874
Bosnia and Herzegovina,2016,4491
Bosnia and Herzegovina,2017,4143
Bosnia and Herzegovina,2018,3561
Bosnia and Herzegovina,2019,3718
Bosnia and Herzegovina,2020,3669
Bosnia and Herzegovina,2021,3161
Bosnia and Herzegovina,2022,3087
Bulgaria,2008,42553
Bulgaria,2009,44278.0
Bulgaria,2010,50479.0
Bulgaria,2011,47323
Bulgaria,2012,44462.0
Bulgaria,2013,45256
Bulgaria,2014,41246
Bulgaria,2015,38315
Bulgaria,2016,32727
Bulgaria,2017,40947
Bulgaria,2018,36922
Bulgaria,2019,33172
Bulgaria,2020,27036
Bulgaria,2021,24435
Bulgaria,2022,28250
Croatia,2008,15300
Croatia,2009,14095.0
Croatia,2010,13575.0
Croatia,2011,15929
Croatia,2012,17248.0
Croatia,2013,14051
Croatia,2014,12043
Croatia,2015,13547
Croatia,2016,12739
Croatia,2017,12413
Croatia,2018,12190
Croatia,2019,11862
Croatia,2020,10418
Croatia,2021,10325
Croatia,2022,11087
Cyprus,2008,3191
Cyprus,2009,2912.0
Cyprus,2010,1670.0
Cyprus,2011,1697
Cyprus,2012,1567.0
Cyprus,2013,1272
Cyprus,2014,990
Cyprus,2015,943
Cyprus,2016,731
Cyprus,2017,959
Cyprus,2018,716
Cyprus,2019,642
Cyprus,2020,513
Cyprus,2021,527
Cyprus,2022,613
Czechia,2008,148264
Czechia,2009,139113.0
Czechia,2010,127021.0
Czechia,2011,125039
Czechia,2012,120028.0
Czechia,2013,126223
Czechia,2014,104464
Czechia,2015,85366
Czechia,2016,71224
Czechia,2017,66101
