Country,Year,Value
Albania,2008,100.88
Albania,2009,96.49
Albania,2010,:
Albania,2011,163.19
Albania,2012,:
Albania,2013,:
Albania,2014,274.9
Albania,2015,242.98
Albania,2016,196.17
Albania,2017,177.15
Albania,2018,188.62
Albania,2019,168.84
Albania,2020,111.11
Albania,2021,118.1
Albania,2022,87.99
Austria,2008,2094.47
Austria,2009,2047.79
Austria,2010,1804.77
Austria,2011,1723.26
Austria,2012,1742.6
Austria,2013,1822.11
Austria,2014,1742.86
Austria,2015,1635.37
Austria,2016,1651.67
Austria,2017,1501.41
Austria,2018,1346.62
Austria,2019,1302.92
Austria,2020,951.95
Austria,2021,819.61
Austria,2022,1081.86
Belgium,2008,2303.23
Belgium,2009,2321.45
Belgium,2010,2106.61
Belgium,2011,2203.5
Belgium,2012,2144.43
Belgium,2013,2007.85
Belgium,2014,1864.29
Belgium,2015,2196.73
Belgium,2016,2055.54
Belgium,2017,1969.42
Belgium,2018,1948.04
Belgium,2019,1985.09
Belgium,2020,1363.3
Belgium,2021,1445.01
Belgium,2022,1686
Bosnia and Herzegovina,2008,212.81
Bosnia and Herzegovina,2009,175.34
Bosnia and Herzegovina,2010,295.57
Bosnia and Herzegovina,2011,175.3
Bosnia and Herzegovina,2012,173.86
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bulgaria,2008,566.01
Bulgaria,2009,592.97
Bulgaria,2010,680.15
Bulgaria,2011,642.15
Bulgaria,2012,606.81
Bulgaria,2013,621.26
Bulgaria,2014,569.25
Bulgaria,2015,531.99
Bulgaria,2016,457.48
Bulgaria,2017,576.57
Bulgaria,2018,523.71
Bulgaria,2019,473.88
Bulgaria,2020,388.92
Bulgaria,2021,353.28
Bulgaria,2022,413.08
Croatia,2008,354.83
Croatia,2009,327.05
Croatia,2010,315.49
Croatia,2011,371.32
Croatia,2012,403.37
Croatia,2013,329.67
Croatia,2014,283.58
Croatia,2015,320.62
Croatia,2016,303.98
Croatia,2017,298.81
Croatia,2018,296.92
Croatia,2019,291
Croatia,2020,256.72
Croatia,2021,255.8
Croatia,2022,287.06
Cyprus,2008,411.03
Cyprus,2009,365.4
Cyprus,2010,203.87
Cyprus,2011,202.08
Cyprus,2012,181.78
Cyprus,2013,146.9
Cyprus,2014,115.38
Cyprus,2015,111.33
Cyprus,2016,86.17
Cyprus,2017,112.19
Cyprus,2018,82.85
Cyprus,2019,73.3
Cyprus,2020,57.77
Cyprus,2021,58.82
Cyprus,2022,67.76
Czechia,2008,1433.41
Czechia,2009,1334.32
Czechia,2010,1214.11
Czechia,2011,1192.35
Czechia,2012,1142.53
Czechia,2013,1200.28
Czechia,2014,993.72
Czechia,2015,810.06
Czechia,2016,674.86
Czechia,2017,624.84
Czechia,2018,560.2
Czechia,2019,561.98
Czechia,2020,426.77
Czechia,2021,256.58
Czechia,2022,330.65
Denmark,2008,5427.63
Denmark,2009,5452.55
Denmark,2010,5282.09
