Country,Year,Value
Albania,2008,653
Albania,2009,647
Albania,2010,603
Albania,2011,740
Albania,2012,1105
Albania,2013,1334
Albania,2014,1776
Albania,2015,2330
Albania,2016,3257
Albania,2017,2087
Albania,2018,1926
Albania,2019,2011
Albania,2020,2099
Albania,2021,3119
Albania,2022,2926
Austria,2008,1980
Austria,2009,2099
Austria,2010,2167
Austria,2011,2320
Austria,2012,1990
Austria,2013,27231
Austria,2014,29164
Austria,2015,33080
Austria,2016,36235
Austria,2017,42699
Austria,2018,41177
Austria,2019,43767
Austria,2020,40785
Austria,2021,35461
Austria,2022,35232
Belgium,2008,14854
Belgium,2009,14960
Belgium,2010,14750
Belgium,2011,13825
Belgium,2012,11334
Belgium,2013,11419
Belgium,2014,55132
Belgium,2015,52657
Belgium,2016,55581
Belgium,2017,58254
Belgium,2018,59786
Belgium,2019,63745
Belgium,2020,61799
Belgium,2021,56440
Belgium,2022,56234
Bosnia and Herzegovina,2008,1519
Bosnia and Herzegovina,2009,52
Bosnia and Herzegovina,2010,38
Bosnia and Herzegovina,2011,54
Bosnia and Herzegovina,2012,43
Bosnia and Herzegovina,2013,20
Bosnia and Herzegovina,2014,70
Bosnia and Herzegovina,2015,82
Bosnia and Herzegovina,2016,747
Bosnia and Herzegovina,2017,767
Bosnia and Herzegovina,2018,2810
Bosnia and Herzegovina,2019,3300
Bosnia and Herzegovina,2020,3756
Bosnia and Herzegovina,2021,4125
Bosnia and Herzegovina,2022,4102
Bulgaria,2008,2857
Bulgaria,2009,3662
Bulgaria,2010,3765
Bulgaria,2011,2859
Bulgaria,2012,2960
Bulgaria,2013,3052
Bulgaria,2014,3239
Bulgaria,2015,4010
Bulgaria,2016,4738
Bulgaria,2017,4989
Bulgaria,2018,5536
Bulgaria,2019,5470
Bulgaria,2020,4915
Bulgaria,2021,4914
Bulgaria,2022,5356
Croatia,2008,7882
Croatia,2009,7063
Croatia,2010,7784
Croatia,2011,7767
Croatia,2012,7295
Croatia,2013,2683
Croatia,2014,2707
Croatia,2015,2842
Croatia,2016,11617
Croatia,2017,11811
Croatia,2018,11199
Croatia,2019,11198
Croatia,2020,9216
Croatia,2021,8951
Croatia,2022,9185
Cyprus,2008,779
Cyprus,2009,706
Cyprus,2010,851
Cyprus,2011,936
Cyprus,2012,1030
Cyprus,2013,996
Cyprus,2014,1080
Cyprus,2015,930
Cyprus,2016,876
Cyprus,2017,940
Cyprus,2018,1142
Cyprus,2019,1032
Cyprus,2020,846
Cyprus,2021,838
Cyprus,2022,1025
Czechia,2008,2812
Czechia,2009,3046
Czechia,2010,3010
Czechia,2011,3635
Czechia,2012,3814
Czechia,2013,5117
Czechia,2014,5597
Czechia,2015,5549
Czechia,2016,5567
Czechia,2017,5599
Czechia,2018,5465
Czechia,2019,4819
Czechia,2020,4191
Czechia,2021,4196
Czechia,2022,4200
Denmark,2008,20260
Denmark,2009,19158
Denmark,2010,19587
Denmark,2011,23074
Denmark,2012,23141
Denmark,2013,25782
Denmark,2014,28093
Denmark,2015,24813
Denmark,2016,23683
Denmark,2017,27684
Denmark,2018,30170
Denmark,2019,32954
Denmark,2020,31221
Denmark,2021,28666
Denmark,2022,31269
England and Wales,2008,29885
England and Wales,2009,33223
England and Wales,2010,32336
England and Wales,2011,31316
England and Wales,2012,29746
England and Wales,2013,29348
England and Wales,2014,28139
England and Wales,2015,25982
England and Wales,2016,25316
England and Wales,2017,26574
England and Wales,2018,29826
England and Wales,2019,:
England and Wales,2020,:
England and Wales,2021,:
England and Wales,2022,:
Estonia,2008,7671
Estonia,2009,4241
Estonia,2010,2977
Estonia,2011,3821
Estonia,2012,4616
Estonia,2013,4638
Estonia,2014,4052
Estonia,2015,4982
Estonia,2016,5653
Estonia,2017,5808
Estonia,2018,4505
Estonia,2019,3998
Estonia,2020,3701
Estonia,2021,3620
Estonia,2022,3130
Finland,2008,15482
Finland,2009,18524
Finland,2010,19724
Finland,2011,20394
Finland,2012,20102
Finland,2013,22656
Finland,2014,21781
Finland,2015,23433
Finland,2016,25121
Finland,2017,27639
Finland,2018,29176
Finland,2019,32343
Finland,2020,37124
Finland,2021,28276
Finland,2022,25206
France,2008,6128
France,2009,6007
France,2010,5869
France,2011,5928
