Country,UN_x,lat_x,lon_x,Year,Value,FIPS,ISO2,ISO3,UN_y,NAME,lat_y,lon_y
Albanie,8.0,41.1422845912,20.0683841514,2015.0,21.5387922705314,AL,AL,ALB,8.0,Albanie,41.1422845912,20.0683841514
Allemagne,276.0,51.1065619193,10.3936466271,2015.0,206.38044534412955,GM,DE,DEU,276.0,Allemagne,51.1065619193,10.3936466271
Angleterre et Pays de Galles,826.0,52.35549999999999,-1.1743,2015.0,430.90435114503816,UKEW,XE,XEW,826.0,Angleterre et Pays de Galles,52.3555,-1.1743
Autriche,40.0,47.5929026313,14.1401917728,2015.0,207.59796,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Belgique,56.0,50.6428512328,4.6639886769,2015.0,312.12395918367343,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Bosnie-Herzégovine,70.0,44.1681150713,17.7865309991,2015.0,59.218936170212764,BK,BA,BIH,70.0,Bosnie-Herzégovine,44.1681150713,17.7865309991
Bulgarie,100.0,42.7613767152,25.2315070042,2015.0,60.505731707317075,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Chypre,196.0,35.0458815895,33.2217623859,2015.0,50.710434782608694,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Croatie,191.0,45.815399,15.966568,2015.0,67.57600806451612,HR,HR,HRV,191.0,Croatie,45.815399,15.966568
Danemark,208.0,55.963397907,10.0462968075,2015.0,486.8726244343892,DA,DK,DNK,208.0,Danemark,55.963397907,10.0462968075
Espagne,724.0,40.2279885804,-3.6484608664100002,2015.0,99.97012048192772,SP,ES,ESP,724.0,Espagne,40.2279885804,-3.64846086641
Estonie,233.0,58.6741361414,25.5276159945,2015.0,115.27222222222223,EN,EE,EST,233.0,Estonie,58.6741361414,25.5276159945
Finlande,246.0,64.500422299,26.2663706977,2015.0,238.71988000000002,FI,FI,FIN,246.0,Finlande,64.500422299,26.2663706977
France,250.0,46.564502139,2.55195527587,2015.0,251.71012931034483,FR,FR,FRA,250.0,France,46.564502139,2.55195527587
Grèce,300.0,39.0683212219,22.9610379833,2015.0,93.0553629032258,GR,GR,GRC,300.0,Grèce,39.0683212219,22.9610379833
Hongrie,348.0,47.166502594,19.413449085,2015.0,122.89937198067632,HU,HU,HUN,348.0,Hongrie,47.166502594,19.413449085
Irlande,372.0,53.1763807059,-8.15057983069,2015.0,191.6671627906977,EI,IE,IRL,372.0,Irlande,53.1763807059,-8.15057983069
Irlande du Nord (Royaume-Uni) (NUTS 2021),,,,2015.0,223.32624113475177,UK,GB-NIR,GBR,,Irlande du Nord,,
Islande,352.0,64.9975884418,-18.6054667962,2015.0,220.9416216216216,IC,IS,ISL,352.0,Islande,64.9975884418,-18.6054667962
Italie,380.0,42.7965060418,12.0723678476,2015.0,199.9643961352657,IT,IT,ITA,380.0,Italie,42.7965060418,12.0723678476
Kosovo*,,,,2015.0,71.16158620689656,KV,XK,XKX,,Kosovo,,
Lettonie,428.0,56.857534554,24.9294249471,2015.0,88.72061403508772,LG,LV,LVA,428.0,Lettonie,56.857534554,24.9294249471
Liechtenstein,438.0,47.1518476121,9.55426912972,2015.0,228.9187894736842,LS,LI,LIE,438.0,Liechtenstein,47.1518476121,9.55426912972
Lituanie,440.0,55.335670420599996,23.8981221633,2015.0,69.12044897959183,LH,LT,LTU,440.0,Lituanie,55.3356704206,23.8981221633
Luxembourg,442.0,49.770627962,6.08781362543,2015.0,267.8248815165877,LU,LU,LUX,442.0,Luxembourg,49.770627962,6.08781362543
Macédoine du Nord,807.0,41.5996826693,21.697475751,2015.0,58.270496453900705,MK,MK,MKD,807.0,Macédoine du Nord,41.5996826693,21.697475751
